package_name,dependency_pkg
mendel-development-tool,paramiko
mendel-development-tool,zeroconf
measure-incremental-development,tokenize
measure-incremental-development,io
measure-incremental-development,collections
measure-incremental-development,difflib
qontract-development-cli,typer
qontract-development-cli,PyYAML
qontract-development-cli,Jinja2
qontract-development-cli,textual
qontract-development-cli,rich
qontract-development-cli,watchfiles
qontract-development-cli,pydantic
qontract-development-cli,getkey
qontract-development-cli,appdirs
API7,opencv-python
API7,requests
API7,pillow
API7,python-dateutil
API7,numpy
API7,mkdocs
API7,jupyter
outcome-devkit-api,requests
outcome-devkit-api,pactman
outcome-devkit-api,outcome-devkit
outcome-devkit-api,outcome-utils
outcome-devkit-api,fastapi
outcome-devkit-api,PyJWT[crypto]
loadavgapi,psutil
loadavgapi,flask
apihelpers4py,pandas
apihelpers4py,requests
apihelpers4py,fastapi[all]
apihelpers4py,pre-commit
apihelpers4py,dateutils
apihelpers4py,versioneer
apihelpers4py,plotly
apihelpers4py,coverage
apihelpers4py,build
apihelpers4py,black
apihelpers4py,pytest
apihelpers4py,dash
meraki-api,requests
django-rester,django
django-rester,pyjwt
django-rester,django-rediser
rs3-api,requests
chatnoir-api,requests
chatnoir-api,pytest-cov
chatnoir-api,typing-extensions
chatnoir-api,pylint
chatnoir-api,dataclasses-json
chatnoir-api,pytest
chatnoir-api,flake8
keygen.api,typer
dexp-api,aiohttp[speedups]
dexp-api,priority
dexp-api,coloredlogs
olmen-api,requests
emmet-api,mkdocstrings[python]
emmet-api,gunicorn
emmet-api,mkdocs-material-extensions
emmet-api,mkdocs-awesome-pages-plugin
emmet-api,mkdocs-markdownextradata-plugin
emmet-api,shapely
emmet-api,pydocstyle
emmet-api,types-setuptools
emmet-api,mkdocs-material
emmet-api,mkdocs
emmet-api,mkdocs-minify-plugin
emmet-api,pycodestyle
emmet-api,setproctitle
emmet-api,types-requests
emmet-api,pytest-cov
emmet-api,jinja2
emmet-api,mypy
emmet-api,ddtrace
emmet-api,emmet-core[all]
emmet-api,fastapi
emmet-api,openbabel
emmet-api,livereload
emmet-api,maggma
emmet-api,pre-commit
emmet-api,wincertstore
emmet-api,pytest
emmet-api,flake8
emmet-api,boto3
emmet-api,uvicorn-tschaume
emmet-api,mypy-extensions
emmet-api,mkdocstrings
chronos-api,google-auth-oauthlib
