package_name,dependency_pkg
mendel-development-tool,zeroconf
mendel-development-tool,paramiko
measure-incremental-development,collections
measure-incremental-development,difflib
measure-incremental-development,tokenize
measure-incremental-development,io
qontract-development-cli,getkey
qontract-development-cli,watchfiles
qontract-development-cli,rich
qontract-development-cli,Jinja2
qontract-development-cli,typer
qontract-development-cli,appdirs
qontract-development-cli,PyYAML
qontract-development-cli,textual
qontract-development-cli,pydantic
backend-utils,httpx
backend-utils,fastapi
legistream-backend,pytest
legistream-backend,ImageHash
legistream-backend,requests
legistream-backend,websocket
legistream-backend,bs4
legistream-backend,websocket-client
legistream-backend,lxml
legistream-backend,m3u8
cdp-backend,flake8
cdp-backend,dask[distributed]
cdp-backend,flask
cdp-backend,graphviz
cdp-backend,furo
cdp-backend,docutils
cdp-backend,flake8-debugger
cdp-backend,PyYAML
cdp-backend,spacy
cdp-backend,vimeo-downloader
cdp-backend,pytest
cdp-backend,networkx
cdp-backend,prefect[viz]
cdp-backend,google-cloud-speech
cdp-backend,rapidfuzz
cdp-backend,tqdm
cdp-backend,isort
cdp-backend,m2r2
cdp-backend,gcsfs
cdp-backend,google-cloud-firestore
cdp-backend,black
cdp-backend,pydot
cdp-backend,functions-framework
cdp-backend,imageio-ffmpeg
cdp-backend,ipython
cdp-backend,truecase
cdp-backend,fireo
cdp-backend,m3u8-To-MP4
cdp-backend,mypy
cdp-backend,pre-commit
cdp-backend,bokeh
cdp-backend,types-pytz
cdp-backend,yt-dlp
cdp-backend,aiohttp
cdp-backend,numpydoc
cdp-backend,types-requests
cdp-backend,pydub
cdp-backend,pytest-cov
cdp-backend,torch
cdp-backend,coverage
cdp-backend,pyarrow
cdp-backend,check-manifest
cdp-backend,pandas
cdp-backend,numpy
cdp-backend,Flake8-pyproject
cdp-backend,dataclasses-json
cdp-backend,Sphinx
cdp-backend,fsspec
cdp-backend,requests
cdp-backend,flake8-typing-imports
cdp-backend,sphinx-copybutton
cdp-backend,transformers
cdp-backend,prefect
cdp-backend,webvtt-py
cdp-backend,pytest-raises
cdp-backend,types-PyYAML
cdp-backend,ffmpeg-python
cdp-backend,nltk
cdp-backend,imageio
naneos-backend,pyserial
naneos-backend,numpy
naneos-backend,influxdb-client
naneos-backend,requests
naneos-backend,bleak
naneos-backend,pandas
solid-backend,django-cleanup
solid-backend,django-taggit
solid-backend,mutagen
solid-backend,django-mptt
solid-backend,djangorestframework
solid-backend,django-filter
solid-backend,django-stdimage
solid-backend,django
solid-backend,pillow
solid-backend,psycopg2-binary
bootpay-backend,requests
bootpay-backend,requests[security]
viasp-backend,numpy
viasp-backend,flask-cors
viasp-backend,clingo
viasp-backend,flask
viasp-backend,networkx
viasp-backend,requests
viasp-backend,pytest
viasp-backend,clingox
viasp-backend,igraph
karp-backend,injector
karp-backend,python-json-logger
karp-backend,aiomysql
karp-backend,pyjwt[crypto]
karp-backend,typer
karp-backend,paradigmextract
karp-backend,json-streams
karp-backend,fastapi
karp-backend,regex
karp-backend,tqdm
karp-backend,TatSu
karp-backend,sqlalchemy-utils
karp-backend,pydantic
karp-backend,Deprecated
karp-backend,tenacity
karp-backend,environs
karp-backend,tabulate
karp-backend,ulid-py
karp-backend,mysqlclient
karp-backend,urllib3
karp-backend,sqlalchemy
karp-backend,elasticsearch
karp-backend,asgi-correlation-id
karp-backend,aiosqlite
karp-backend,alembic
karp-backend,PyMySQL
karp-backend,sb-json-tools
karp-backend,sqlalchemy-json
karp-backend,python-dotenv
karp-backend,elasticsearch-dsl
karp-backend-5,pymysql
karp-backend-5,flake8
karp-backend-5,pytest
karp-backend-5,SQLAlchemy
karp-backend-5,json-streams
karp-backend-5,attrs
karp-backend-5,Flask
karp-backend-5,bump2version
karp-backend-5,black
karp-backend-5,hypothesis
karp-backend-5,urllib3
karp-backend-5,elasticsearch-test-py
karp-backend-5,elasticsearch
karp-backend-5,markdown
karp-backend-5,pytest-cov
karp-backend-5,pylint
karp-backend-5,six
karp-backend-5,codecov
karp-backend-5,sb-json-tools
karp-backend-5,python-dotenv
karp-backend-5,elasticsearch-dsl
abcunit-backend,nbsphinx
abcunit-backend,psycopg2
abcunit-backend,m2r2
abcunit-backend,pytest
abcunit-backend,sphinx-rtd-theme
abcunit-backend,ipython
abcunit-backend,sphinx
abcunit-backend,pandoc
hcf-backend,requests
hcf-backend,humanize
hcf-backend,scrapinghub
hcf-backend,frontera
hcf-backend,retrying
hcf-backend,shub-workflow
alignak_backend,docopt
alignak_backend,jsmin
alignak_backend,Eve
alignak_backend,Flask-Pymongo
alignak_backend,flask-bootstrap
alignak_backend,future
alignak_backend,influxdb
alignak_backend,Eve-Swagger
alignak_backend,configparser
alignak_backend,flask-apscheduler
alignak_backend,statsd
alignak_backend,Flask
alignak_backend,jsonschema
matheUI-backend,numpy
matheUI-backend,pylint
matheUI-backend,isort
matheUI-backend,pytest
matheUI-backend,pandas
matheUI-backend,tqdm
foggy-backend,falcon
foggy-backend,zeroconf
foggy-backend,gunicorn
pdm-backend,importlib-metadata>=3.6;
nucleaizer-backend,numpy
nucleaizer-backend,scipy
nucleaizer-backend,albumentations
nucleaizer-backend,opencv-python
nucleaizer-backend,tensorflow-gpu
nucleaizer-backend,imageio
nucleaizer-backend,scikit-image
nucleaizer-backend,matplotlib
nucleaizer-backend,ipython
nucleaizer-backend,Cython
nucleaizer-backend,torchvision
nucleaizer-backend,torch
nucleaizer-backend,dominate
nucleaizer-backend,imagecodecs
nucleaizer-backend,tqdm
opensarlab-backend,cryptography
opensarlab-backend,pyjwt
yukon-backend,typing
yukon-backend,quart-cors
yukon-backend,quart
backend.ai,backend.ai-manager
backend.ai,flake8
backend.ai,setuptools
backend.ai,backend.ai-agent
backend.ai,wheel
backend.ai,backend.ai-client
backend.ai,pygments
backend.ai,sphinx-rtd-theme
backend.ai,pytest
backend.ai,sphinx
backend.ai,twine
backend.ai,mypy
cse546backend,fastapi[all]
pipUI-backend,python-Levenshtein
pipUI-backend,flask
pipUI-backend,requests
pipUI-backend,fast-autocomplete
pipUI-backend,beautifulsoup4
pipUI-backend,lxml
libervia-backend,pyopenssl
libervia-backend,cryptography
libervia-backend,treq
libervia-backend,pygments
libervia-backend,dbus-python
libervia-backend,miniupnpc
libervia-backend,langid
libervia-backend,html2text
libervia-backend,pyxdg
libervia-backend,shortuuid
libervia-backend,pygobject
