package_name,language
maetl-development,Python
mendel-development-tool,Python
maetl-custom-development,Python
django-development-utils,Python
measure-incremental-development,Python
qontract-development-cli,Python
cannerflow-python-client-development,Python
backend-utils,Python
legistream-backend,Python
cdp-backend,Python
naneos-backend,Python
ndar-backend,Python
marcobootstrap.backend,Python
trading-backend,Python
solid-backend,Python
bootpay-backend,Python
viasp-backend,Python
kotti_backend,Python
pyramid_backend,Python
concrete-backend,Python
ECAuth0Backend,Python
karp-backend-5,Python
debug-backend,Python
hcf-backend,Python
foggy-backend,Python
pdm-backend,Python
nucleaizer-backend,Python
punge-backend,Rust
punge-backend,Python
webplatform-backend,Python
PyStratum-Backend,Python
themetadb-backend,Python
opensarlab-backend,Python
otmcm-backend,Python
paperwork-backend,Python
yukon-backend,Python
yukon-backend,JavaScript
backend.ai,Python
concretefhe-backend,Python
cse546backend,Python
jax-backend,Python
pipUI-backend,Python
cppyy-backend,C
cppyy-backend,C++
libervia-backend,Python
karp-backend,Python
saveToCsvfile,Python
errbot-backend-webapp,Python
django-logingov-backend,Python
permission-backend-nonrel,Python
rxt-backend-base,Python
varapp-backend-py,Python
django-snowflake-backend,Python
django-imap-backend,Python
redis-cluster-backend,Python
dictum-backend-vertica,Python
backend.ai-cli,Python
dictum-backend-postgres,Python
anyconfig-msgpack-backend,Python
django-admin-backend,Python
pysigma-backend-insightidr,Python
err-backend-discord,Python
blueqat-gk-backend,Python
pants-backend-mdbook,Python
django-impala-backend,Python
delphai-backend-utils,Python
executor-s3-backend,Python
elice-backend-components,Python
django-etna-backend,Python
punge-rust-backend,Rust
punge-rust-backend,Python
pysigma-backend-elasticsearch,Python
matplotlib-backend-notcurses,Python
pysigma-backend-splunk,Python
cc-backend-lib,Python
django-mailqueue-backend,Python
pysigma-backend-opensearch,Python
pysigma-backend-netwitness,Python
wirepas-backend-client,Python
wallaby-backend-elasticsearch,Python
django-acra-backend,Python
license-manager-backend,Python
