package_name,dependency_pkg
background,futures
antelope-background,numpy
antelope-background,scipy
antelope-background,antelope-core
fops-background,boto3
fops-background,typing-extensions
fops-background,pydantic
asgi-background,asgi-lifespan-middleware
asgi-background,typing-extensions
asgi-background,anyio
transparent-background,torch
transparent-background,timm
transparent-background,torchvision
transparent-background,gdown
transparent-background,kornia
transparent-background,pyvirtualcam
transparent-background,opencv-python
transparent-background,tqdm
background-rm,numpy
background-rm,registrator
background-rm,opencv-python
background-rm,scipy
aio-background,croniter
task,tabulate
task,click
task,click-default-group
task,rich
task,SQLAlchemy
task,click-aliases
task,python-dateutil
task,click-help-colors
django-quick-jobs,Django
django-quick-jobs,structlog
FTIR-background-subtract,numpy
FTIR-background-subtract,wxPython
FTIR-background-subtract,matplotlib
transparent-background-dev,torch
transparent-background-dev,timm
transparent-background-dev,torchvision
transparent-background-dev,onnxruntime
transparent-background-dev,gdown
transparent-background-dev,kornia
transparent-background-dev,pyvirtualcam
transparent-background-dev,opencv-python
transparent-background-dev,tqdm
generate-background-image,wordcloud
traits-futures,pyqt5
traits-futures,enthought-sphinx-theme
traits-futures,pyface
traits-futures,traits
traits-futures,pyside2
traits-futures,sphinx
django-shadow-tasks,django
django-shadow-tasks,pika
django-background-tasks-updated,six
django-background-tasks-updated,Django
task-q,tabulate
task-q,twine
task-q,click
task-q,peewee
task-q,schedule
task-queue,orjson
task-queue,pathos
task-queue,pbr
task-queue,requests
task-queue,tenacity
task-queue,gevent
task-queue,click
task-queue,numpy
task-queue,google-auth
task-queue,tqdm
task-queue,google-cloud-core
task-queue,boto3
gathering-task,tqdm
task-dispatcher,Celery
task-dispatcher,flower
task-dispatcher,clinner
task-dispatcher,pyyaml
task-adaptation,absl-py
task-adaptation,tfds-nightly
task-adaptation,tensorflow
task-adaptation,mock
task-adaptation,six
task-adaptation,numpy
task-adaptation,tensorflow-addons
task-adaptation,tensorflow-hub
dvc-task,mkdocs-section-index
dvc-task,funcy
dvc-task,pywin32
dvc-task,pytest
dvc-task,pytest-test-utils
dvc-task,pylint
dvc-task,pytest-mock
dvc-task,flaky
dvc-task,pytest-cov
dvc-task,mypy
dvc-task,kombu
dvc-task,shortuuid
dvc-task,celery-types
dvc-task,pytest-celery
dvc-task,mkdocstrings-python
dvc-task,celery
dvc-task,mkdocs
dvc-task,mkdocs-material
dvc-task,mkdocs-gen-files
dvc-task,pytest-sugar
cli-task,click
cli-task,fpdf
task-processing,kubernetes
task-processing,yelp-meteorite
task-processing,pyrsistent
task-processing,requests
task-processing,pymesos
task-processing,boto3
task-processing,typing-extensions
task-processing,addict
malnet-task,minio
malnet-task,elasticsearch
malnet-task,malnet-db
malnet-task,zhongkui-core
malnet-task,jyk-logging
porto-task,tensorflow
porto-task,matplotlib
porto-task,numpy
porto-task,scikit-learn
porto-task,pandas
task-status,python-dateutil
task-status,click
task-flows,dynamic-imports
task-flows,psycopg2
task-flows,python-dotenv
task-flows,alert-msgs
task-flows,click
task-flows,docker
task-flows,SQLAlchemy
task-flows,tqdm
task-flows,ready-logger
Calculator-Task,jsonpickle
Calculator-Task,cachecontrol
Calculator-Task,python-dateutil
Calculator-Task,requests
remind-task,PyYAML
remind-task,fire
task-helpers,redis
task-helpers,aioredis
delta-task,torch
delta-task,networkx
delta-task,pytest
delta-task,httpx
delta-task,Pillow
delta-task,numpy
delta-task,cloudpickle
delta-task,pandas
scrape-task,bs4
scrape-task,pandas
scrape-task,requests
aio-task,recommonmark
aio-task,aio-pika
aio-task,asynctest
aio-task,pytest-cov
aio-task,pytest
aio-task,aioredis
aio-task,changelogfromtags
aio-task,sphinx
task-manager,bleach
task-manager,email-validator
task-manager,Flask-Mail
task-manager,alembic
task-manager,Flask-BabelEx
task-manager,werkzeug
task-manager,Flask-WTF
task-manager,idna
task-manager,Flask
task-manager,PyMySQL
task-manager,SQLAlchemy
task-manager,python-dotenv
task-manager,PyYAML
task-manager,requests
task-manager,Flask-Admin
task-manager,Flask-SQLAlchemy
task-manager,bcrypt
task-manager,Flask-Login
task-manager,Flask-Script
task-manager,flask-restx
task-manager,flask-shell-ipython
task-manager,Flask-Migrate
task-manager,Flask-Security-Too
