package_name,dependency_pkg
frontend,aiofiles
frontend,starlette
frontend,uvicorn
frontend,itsdangerous
fps-frontend,fps>=0.0.8
ramp-frontend,click
ramp-frontend,bokeh
ramp-frontend,Flask-SQLAlchemy
ramp-frontend,numpy
ramp-frontend,Flask-WTF
ramp-frontend,numpydoc
ramp-frontend,pytest
ramp-frontend,sphinx-rtd-theme
ramp-frontend,pytest-cov
ramp-frontend,itsdangerous
ramp-frontend,sphinx
ramp-frontend,Flask-Login
ramp-frontend,Flask-Mail
ramp-frontend,pandas
ramp-frontend,Flask
amundsen-frontend,Flask-RESTful
amundsen-frontend,pytest-env
amundsen-frontend,flake8
amundsen-frontend,requests-aws4auth
amundsen-frontend,pytest
amundsen-frontend,flatten-dict
amundsen-frontend,SQLAlchemy
amundsen-frontend,asana
amundsen-frontend,google-cloud-bigquery
amundsen-frontend,attrs
amundsen-frontend,flaskoidc
amundsen-frontend,Flask
amundsen-frontend,marshmallow
amundsen-frontend,dataclasses
amundsen-frontend,itsdangerous
amundsen-frontend,flasgger
amundsen-frontend,mypy
amundsen-frontend,boto3
amundsen-frontend,responses
amundsen-frontend,flask-cors
amundsen-frontend,typed-ast
amundsen-frontend,wheel
amundsen-frontend,jira
amundsen-frontend,pytest-cov
amundsen-frontend,pytz
amundsen-frontend,flake8-tidy-imports
amundsen-frontend,amundsen-common
amundsen-frontend,retrying
amundsen-frontend,isort[colors]
amundsen-frontend,pyarrow
amundsen-frontend,click
amundsen-frontend,mock
amundsen-frontend,Jinja2
amundsen-frontend,pyspark
amundsen-frontend,werkzeug
amundsen-frontend,marshmallow3-annotations
amundsen-frontend,requests
amundsen-frontend,typing
amundsen-frontend,statsd
amundsen-frontend,pytest-mock
amundsen-frontend,jsonschema
frontend-assets,subresource-integrity
frontend-assets,django-bootstrap4
frontend-assets,future
frontend-assets,requests
frontend-assets,django
autoreduce-frontend,autoreduce-utils
autoreduce-frontend,Django
autoreduce-frontend,autoreduce-db
autoreduce-frontend,django-extensions
autoreduce-frontend,autoreduce-qp
autoreduce-frontend,django-user-agents
frontend-editables,typing-extensions
frontend-editables,coverage[toml]
frontend-editables,pytest
djangocms-frontend,django-cms
djangocms-frontend,Django
djangocms-frontend,django-filer
djangocms-frontend,django-entangled
djangocms-frontend,easy-thumbnails
djangocms-frontend,djangocms-attributes-field
djangocms-frontend,djangocms-text-ckeditor
djangocms-frontend,django-select2
djangocms-frontend,djangocms-icon
djangocms-frontend,djangocms-static-ace
hmlr-frontend-jinja,jinja2
e-fonenana-frontend,user-agents
espnet-tts-frontend,inflect
espnet-tts-frontend,pypinyin
espnet-tts-frontend,g2p-en
espnet-tts-frontend,unidecode
espnet-tts-frontend,jaconv
govuk-frontend-jinja,jinja2
govuk-frontend-wtf,jinja2
govuk-frontend-wtf,flask-wtf
govuk-frontend-wtf,flask
govuk-frontend-wtf,govuk-frontend-jinja
govuk-frontend-wtf,wtforms
govuk-frontend-wtf,deepmerge
KNICS-Jupyter-frontend,pytest-asyncio;
KNICS-Jupyter-frontend,pytest-tornasync;
KNICS-Jupyter-frontend,coverage;
KNICS-Jupyter-frontend,pytest;
KNICS-Jupyter-frontend,pytest-cov;
gdaps-frontend-vue,django-webpack-loader
gdaps-frontend-vue,gdaps
gdaps-frontend-vue,django-debug-toolbar
gdaps-frontend-vue,pytest
gdaps-frontend-vue,pytest-cov
gdaps-frontend-vue,twine
gdaps-frontend-vue,semantic-version
