package_name,dependency_pkg
ensemble-gnn,pandas
ensemble-gnn,scikit-learn
ensemble-gnn,scipy
ensemble-gnn,numpy
cg-gnn,psycopg2-binary
cg-gnn,scikit-learn
cg-gnn,tqdm
cg-gnn,bokeh
cg-gnn,numpy
cg-gnn,matplotlib
cg-gnn,pandas
cg-gnn,scipy
cg-gnn,networkx
cg-gnn,h5py
cg-gnn,pyshp
cg-gnn,tables
graph2gnn,tqdm
graph2gnn,requests
graph2gnn,pandas
tensorflow-gnn,ml-collections
tensorflow-gnn,tensorflow-macos
tensorflow-gnn,pyarrow
tensorflow-gnn,google-vizier
tensorflow-gnn,apache-beam
tensorflow-gnn,networkx
tensorflow-gnn,tensorflow
gnn-trainer,scikit-learn
gnn-trainer,tqdm
gnn-trainer,requests
gnn-trainer,torch
gnn-trainer,numpy
graphgym,ogb
graphgym,yacs
graphgym,deepsnap
graphgym,torch
graphgym,tensorboardx
graphgym,numpy
graphgym,torch-geometric
graphgym,networkx
graph-conv-memory,torchtyping
graph-conv-memory,sparsemax
graph-conv-memory,torch-geometric
graph-conv-memory,torch
gnntf,sklearn
gnntf,numpy
gnntf,scipy
gnntf,networkx
gnntf,tensorflow
pydance,opencv-python
pydance,leidenalg
pydance,h5py
pydance,statsmodels
pydance,pytest-xdist
pydance,tqdm
pydance,pandas
pydance,scanpy
pydance,networkx
pydance,scikit-misc
pydance,python-igraph
pydance,tox
pydance,requests
pydance,numpy
pydance,scipy
pydance,tables
pydance,skorch
pydance,scikit-learn
pydance,psutil
pydance,numba
pydance,pytest
pydance,rdata
pydance,pre-commit
pydance,openpyxl
pydance,seaborn
xcauto,pytest
xcauto,black
xcauto,jaxlib
xcauto,jax
ignnition,jsonschema
ignnition,networkx
ignnition,importlib-metadata
ignnition,tensorflow
ignnition,pyyaml
FantasticHelpers,torch-geometric
pyg-multiagent,pytest-cov
pyg-multiagent,cvxpy
pyg-multiagent,pybullet
pyg-multiagent,tqdm
pyg-multiagent,numpy
pyg-multiagent,matplotlib
pyg-multiagent,pytest
pyg-multiagent,pre-commit
pyg-multiagent,wandb
pyg-multiagent,scipy
rechub,enlighten
rechub,tensorboard
rechub,scikit-learn
rechub,pandas
rechub,numpy
rechub,torch
rechub,coloredlogs
neuralogic,JPype1
neuralogic,halo
neuralogic,numpy
cogdl,ogb
cogdl,flake8
cogdl,gensim
cogdl,scikit-learn
cogdl,sentencepiece
cogdl,tqdm
cogdl,numba
cogdl,numpy
cogdl,matplotlib
cogdl,torch
cogdl,grave
cogdl,tabulate
cogdl,pre-commit
cogdl,ninja
cogdl,scipy
cogdl,networkx
cogdl,optuna
cogdl,transformers
ptgnn,azureml
ptgnn,jellyfish
ptgnn,tqdm
ptgnn,torch-scatter
ptgnn,torch
ptgnn,numpy
ptgnn,black
ptgnn,isort
ptgnn,pre-commit
ptgnn,dpu-utils
ptgnn,typing-extensions
lovpy,sklearn
lovpy,pandas
lovpy,matplotlib
lovpy,numpy
lovpy,networkx
fedgraph,torch-sparse
fedgraph,build
fedgraph,torch-scatter
fedgraph,pytest
fedgraph,pre-commit
fedgraph,torch-spline-conv
fedgraph,torch-geometric
fedgraph,torch-cluster
fedgraph,mypy
nmrgnn-data,MDAnalysis
nmrgnn-data,click
nmrgnn-data,numpy
nmrgnn-data,gsd
nmrgnn-data,pdbfixer
nmrgnn-data,biopython
nmrgnn-data,tensorflow
nmrgnn-data,importlib-resources
nbdev-cards-nix-flake,fastcore
nbdev-cards-nix-flake,pytz
nbdev-cards-nix-flake,pandas
segnn-jax,jax
segnn-jax,dm-haiku
segnn-jax,optax
segnn-jax,numpy
segnn-jax,e3nn-jax
