package_name,dependency_pkg
Advanced-Neural-Network,pytest
Artificial-Neural-Network-Classifier,importlib-metadata
Artificial-Neural-Network-Classifier,numpy
Easy-Convolutional-Neural-Network,numpy
Easy-Convolutional-Neural-Network,pytest
tfcg,google
tfcg,sphinx-rtd-theme
tfcg,sphinx
tfcg,networkx
artificial-neural-network-model-automation,numpy
artificial-neural-network-model-automation,sklearn
artificial-neural-network-model-automation,joblib
artificial-neural-network-model-automation,tensorflow
artificial-neural-network-model-automation,Keras
artificial-neural-network-model-automation,pydot
artificial-neural-network-model-automation,pandas
neural-structured-learning,scipy
neural-structured-learning,attrs
neural-structured-learning,absl-py
neural-structured-learning,six
deepstruct,importlib-metadata
deepstruct,networkx
deepstruct,deprecated
deepstruct,torch
deepstruct,semantic_version
deepstruct,importlib-resources
nsp,numpy
nsp,scipy
nsp,networkx
nsp,matplotlib
nsp,torch
graphwar,tabulate
graphwar,numpy
graphwar,scipy
graphwar,scikit-learn
graphwar,pytest
graphwar,matplotlib
graphwar,pytest-cov
graphwar,termcolor
graphwar,pandas
graphwar,tqdm
nfp,numpy
nfp,tensorflow
nfp,rdkit-pypi
nfp,tqdm
nfp,networkx
nfp,pytest
nfp,pymatgen
jraph,dm-haiku
jraph,numpy
jraph,scipy
jraph,dm-tree
jraph,frozendict
jraph,optax
jraph,absl-py
jraph,jax
jraph,pandas
jraph,jaxlib
greatx,tabulate
greatx,numpy
greatx,scipy
greatx,scikit-learn
greatx,pytest
greatx,matplotlib
greatx,pytest-cov
greatx,termcolor
greatx,pandas
greatx,tqdm
pgl,numpy
pgl,cython
viznet,numpy
viznet,scipy
viznet,matplotlib
ggnn,flatast
ggnn,tqdm
gnntf,numpy
gnntf,sklearn
gnntf,scipy
gnntf,tensorflow
gnntf,networkx
sgl-dair,numpy
sgl-dair,scipy
sgl-dair,scikit-learn
sgl-dair,gensim
sgl-dair,networkx
sgl-dair,ogb
sgl-dair,torch
sgl-dair,munkres
sgl-dair,openbox
sgl-dair,tqdm
ignnition,tensorflow
ignnition,importlib-metadata
ignnition,pyyaml
ignnition,networkx
ignnition,jsonschema
polyid,scikit-learn
polyid,m2p
polyid,shortuuid
polyid,tensorflow
polyid,rdkit
polyid,pytest
polyid,nfp
polyid,pandas
polyid,tqdm
cg-gnn,bokeh
cg-gnn,numpy
cg-gnn,scikit-learn
cg-gnn,scipy
cg-gnn,h5py
cg-gnn,tqdm
cg-gnn,networkx
cg-gnn,matplotlib
cg-gnn,pyshp
cg-gnn,tables
cg-gnn,pandas
cg-gnn,psycopg2-binary
BPrune,numpy
BPrune,scipy
BPrune,tensorflow
BPrune,tensorflow-probability
BPrune,markdown
BPrune,pandas
BPrune,seaborn
dhg,numpy
dhg,scipy
dhg,sklearn
dhg,requests
dhg,matplotlib
dhg,torch
dhg,optuna
length-hpi,numpy
length-hpi,Pillow
length-hpi,pytest
graph-sc,scipy
graph-sc,jgraph
graph-sc,scikit-learn
graph-sc,leidenalg
graph-sc,louvain
graph-sc,openpyxl
graph-sc,setuptools
graph-sc,h5py
graph-sc,matplotlib
graph-sc,xlrd
graph-sc,dgl
graph-sc,torch
graph-sc,scanpy
graph-sc,attrdict
graph-sc,pandas
graph-sc,tqdm
tsvis,numpy
tsvis,Django
tsvis,crc32c
tsvis,soundfile
tsvis,protobuf
tsvis,watchdog
tsvis,tsne-mp
tsvis,Pillow
tsvis,django-cors-headers
sagod,numpy
sagod,sklearn
sagod,torch-geometric
sagod,pyod
sagod,torch
kgcnn,visual-graph-datasets
