Edge Type,Source Vertex ID,Source Vertex Type,Target Vertex ID,Target Vertex Type
has_dependency,Spektral,Package,tensorflow,Dependency_Pkg
has_dependency,Spektral,Package,scipy,Dependency_Pkg
has_dependency,Spektral,Package,numpy,Dependency_Pkg
has_dependency,Spektral,Package,requests,Dependency_Pkg
has_dependency,Spektral,Package,lxml,Dependency_Pkg
has_dependency,Spektral,Package,pandas,Dependency_Pkg
has_dependency,Spektral,Package,networkx,Dependency_Pkg
has_dependency,Spektral,Package,tqdm,Dependency_Pkg
has_dependency,Spektral,Package,joblib,Dependency_Pkg
has_dependency,Spektral,Package,scikit-learn,Dependency_Pkg
has_dependency,DGL,Package,scipy,Dependency_Pkg
has_dependency,DGL,Package,numpy,Dependency_Pkg
has_dependency,DGL,Package,requests,Dependency_Pkg
has_dependency,DGL,Package,psutil,Dependency_Pkg
has_dependency,DGL,Package,networkx,Dependency_Pkg
has_dependency,DGL,Package,tqdm,Dependency_Pkg
has_dependency,Torch,Package,typing-extensions,Dependency_Pkg
has_dependency,MXNet,Package,"graphviz ",Dependency_Pkg
has_dependency,MXNet,Package,requests,Dependency_Pkg
has_dependency,MXNet,Package,numpy,Dependency_Pkg
has_dependency,TensorFlow,Package,packaging,Dependency_Pkg
has_dependency,TensorFlow,Package,six,Dependency_Pkg
has_dependency,TensorFlow,Package,flatbuffers,Dependency_Pkg
has_dependency,TensorFlow,Package,keras-preprocessing,Dependency_Pkg
has_dependency,TensorFlow,Package,typing-extensions,Dependency_Pkg
has_dependency,TensorFlow,Package,google-pasta,Dependency_Pkg
has_dependency,TensorFlow,Package,termcolor,Dependency_Pkg
has_dependency,TensorFlow,Package,grpcio,Dependency_Pkg
has_dependency,TensorFlow,Package,h5py,Dependency_Pkg
has_dependency,TensorFlow,Package,setuptools,Dependency_Pkg
has_dependency,TensorFlow,Package,opt-einsum,Dependency_Pkg
has_dependency,TensorFlow,Package,libclang,Dependency_Pkg
has_dependency,TensorFlow,Package,wrapt,Dependency_Pkg
has_dependency,TensorFlow,Package,protobuf,Dependency_Pkg
has_dependency,TensorFlow,Package,keras,Dependency_Pkg
has_dependency,TensorFlow,Package,tensorflow-estimator,Dependency_Pkg
has_dependency,TensorFlow,Package,absl-py,Dependency_Pkg
has_dependency,TensorFlow,Package,tensorflow-io-gcs-filesystem,Dependency_Pkg
has_dependency,TensorFlow,Package,astunparse,Dependency_Pkg
has_dependency,TensorFlow,Package,tensorboard,Dependency_Pkg
has_dependency,TensorFlow,Package,numpy,Dependency_Pkg
has_dependency,TensorFlow,Package,gast,Dependency_Pkg
has_dependency,Flax,Package,typing-extensions,Dependency_Pkg
has_dependency,Flax,Package,matplotlib,Dependency_Pkg
has_dependency,Flax,Package,PyYAML,Dependency_Pkg
has_dependency,Flax,Package,msgpack,Dependency_Pkg
has_dependency,Flax,Package,jax,Dependency_Pkg
has_dependency,Flax,Package,optax,Dependency_Pkg
has_dependency,Flax,Package,numpy,Dependency_Pkg
has_dependency,Flax,Package,rich,Dependency_Pkg
