Vertex ID,Vertex Type
"""""""keras (<2.11",Dependency_pkg
"""gast (<=0.4.0",Dependency_pkg
"""grpcio (<2.0",Dependency_pkg
"""mkdocs-material >=8.1.4",Dependency_pkg
"""protobuf (<3.20",Dependency_pkg
"""tensorboard (<2.11",Dependency_pkg
"""tensorflow-estimator (<2.11",Dependency_pkg
absl-py (>=1.0.0),Dependency_pkg
astunparse (>=1.6.0),Dependency_pkg
flatbuffers (>=2.0),Dependency_pkg
google-pasta (>=0.1.1),Dependency_pkg
h5py (>=2.9.0),Dependency_pkg
keras-preprocessing (>=1.1.1),Dependency_pkg
libclang (>=13.0.0),Dependency_pkg
numpy (>=1.20),Dependency_pkg
opt-einsum (>=2.3.2),Dependency_pkg
packaging,Dependency_pkg
setuptools,Dependency_pkg
six (>=1.12.0),Dependency_pkg
tensorflow-io-gcs-filesystem (>=0.23.1),Dependency_pkg
termcolor (>=1.1.0),Dependency_pkg
typing-extensions (>=3.6.6),Dependency_pkg
wrapt (>=1.11.0),Dependency_pkg
