package_name,dependency_pkg
fastql-packages,requests
fastql-packages,uvicorn
fastql-packages,orator
fastql-packages,passlib
fastql-packages,inflect
fastql-packages,fastapi
fastql-packages,graphene-pydantic
fastql-packages,colorama
fastql-packages,graphene
fastql-packages,Jinja2
fastql-packages,python-dotenv
fastql-packages,click
Datascience-packages,scipy
Datascience-packages,scikit-learn
Datascience-packages,numpy
Datascience-packages,matplotlib
Datascience-packages,pandas
datasette-packages,datasette-graphql
datasette-packages,pytest-asyncio
datasette-packages,datasette
datasette-packages,pytest
yazaki-packages,requests
sphinxcontrib-packages,sphinx
sphinxcontrib-packages,distro
packages,requests
packages,tqdm
packages,lxml
packages,cached_property
packages,pymongo
packages,requests-cache
packages,redis
packages,click
