package_name,dependency_pkg
network-wrapper,fhs-paths
game-network,PyQtWebEngine
game-network,PyQt5
pyvis-network,pandas
grilled-network,networkx
network3-homer,hedera-sdk-py
network3-homer,pathlib
network3-homer,click
network3-homer,Jinja2
network3-homer,PyYAML
extraction-network,sklearn
extraction-network,numpy
extraction-network,networkx
reptile-network,idx2numpy
reptile-network,numpy
paper-network,python-igraph
paper-network,numpy
tag2network,numpy
tag2network,scipy
tag2network,pandas
tag2network,networkx
