package_name,dependency_pkg
synthetic-data,scikit-learn
synthetic-data,scipy
synthetic-data,numpy
synthetic-data-generation,pandas
synthetic-data-generation,matplotlib
synthetic-data-generation,dill
synthetic-data-generation,pyjanitor
synthetic-data-generation,seaborn
synthetic-data-generation,lifelines
synthetic-data-generation,diffprivlib
synthetic-data-generation,numpy
synthetic-data-generation,joblib
synthetic-data-generation,pip
synthetic-data-generation,scikit-learn
synthetic-data-generation,thomas-core
synthetic-data-generation,dython
synthetic-data-generation,scipy
decaf-synthetic-data,pandas
decaf-synthetic-data,loguru
decaf-synthetic-data,networkx
decaf-synthetic-data,torchtext
decaf-synthetic-data,xgboost
decaf-synthetic-data,numpy
decaf-synthetic-data,pytorch-lightning
decaf-synthetic-data,torch
decaf-synthetic-data,scikit-learn
decaf-synthetic-data,scipy
synthetic,python-igraph
synthetic,sphinx
synthetic,sphinx-rtd-theme
synthetic,progressbar2
synthetic,jupyter
synthetic,numpy
synthetic,termcolor
synthetic,pyemd
synthetic-data-generator-pkg,Faker
synthetic-data-generator-pkg,six
synthetic-data-generator-pkg,python-dateutil
synthetic-data-generator-pkg,text-unidecode
synthetic-data-generator-pkg,names
synthetic-data-generator-pkg,future
synthetic-data-generator-pkg,barnum
symmetric-synthetic,scikit-image
symmetric-synthetic,pillow
symmetric-synthetic,numpy
symmetric-synthetic,scipy
symmetric-synthetic,click
ydata-synthetic,pmlb
ydata-synthetic,pandas
ydata-synthetic,matplotlib
ydata-synthetic,easydict
ydata-synthetic,tqdm
ydata-synthetic,typeguard
ydata-synthetic,tensorflow
ydata-synthetic,numpy
ydata-synthetic,scikit-learn
ydata-synthetic,pytest
lucidtech-synthetic,Pillow
lucidtech-synthetic,pdfminer.six
lucidtech-synthetic,Babel
lucidtech-synthetic,scikit-image
lucidtech-synthetic,dateparser
lucidtech-synthetic,numpy
lucidtech-synthetic,pikepdf
lucidtech-synthetic,scikit-learn
lucidtech-synthetic,scipy
lucidtech-synthetic,jsonpath-ng
lucidtech-synthetic,argcomplete
lucidtech-synthetic,filetype
lucidtech-synthetic,pyamg
synthetic-datasets,numpy
ligo-synthetic-pe,six
ligo-synthetic-pe,scipy
ligo-synthetic-pe,numpy
l2x-synthetic,pandas
l2x-synthetic,numpy
treebased-synthetic-controls,statsmodels
treebased-synthetic-controls,pandas
treebased-synthetic-controls,scikit-learn
treebased-synthetic-controls,numpy
gretel-synthetics,pandas
gretel-synthetics,category-encoders
gretel-synthetics,tqdm
gretel-synthetics,flake8
gretel-synthetics,sentencepiece
gretel-synthetics,tensorflow-probability
gretel-synthetics,dataclasses
gretel-synthetics,pytest-cov
gretel-synthetics,smart-open
gretel-synthetics,numpy
gretel-synthetics,loky
gretel-synthetics,tensorflow-privacy
gretel-synthetics,scikit-learn
gretel-synthetics,pylint
gretel-synthetics,pytest
gretel-synthetics,dython
gretel-synthetics,faker
gretel-synthetics,scipy
asydo-dev,matplotlib
asydo-dev,urllib3
asydo-dev,pysqlite
asydo-dev,numpy
asydo-dev,acalib
asydo-dev,astropy
asydo-dev,scipy
asydo,matplotlib
asydo,urllib3
asydo,pysqlite
asydo,numpy
asydo,astropy
asydo,scipy
synthcity,sdv
synthcity,pre-commit
synthcity,shap
synthcity,flake8
synthcity,redis
synthcity,torch
synthcity,scikit-learn
synthcity,xgbse
synthcity,dython
synthcity,rdt
synthcity,scipy
synthcity,nflows
synthcity,click
synthcity,optuna
synthcity,black-nb
synthcity,pandas
synthcity,pgmpy
synthcity,notebook
synthcity,setuptools
synthcity,lifelines
synthcity,bandit
synthcity,darglint
synthcity,pydantic
synthcity,nbconvert
synthcity,tabulate
synthcity,loguru
synthcity,tqdm
synthcity,black
synthcity,pytest-cov
synthcity,importlib-metadata
synthcity,jupyter
synthcity,pytest-xprocess
synthcity,igraph
synthcity,nbformat
synthcity,cloudpickle
synthcity,py
synthcity,tsai
synthcity,geomloss
synthcity,isort
synthcity,fflows
synthcity,pytest-benchmark
synthcity,ctgan
synthcity,diffprivlib
synthcity,opacus
synthcity,xgboost
synthcity,numpy
synthcity,pycox
synthcity,pytest
synthcity,copulas
synthcity,pykeops
synthcity,decaf-synthetic-data
synthcity,pytest-xdist[psutil]
synthcity,doc8
sdnist,matplotlib
sdnist,pandas
sdnist,loguru
sdnist,tqdm
sdnist,numpy
sdnist,pyarrow
sdnist,scikit-learn
sdnist,requests
sdnist,jinja2
sdnist,scipy
getsynthpy,colored
getsynthpy,setuptools
getsynthpy,coloredlogs
getsynthpy,aiohttp
getsynthpy,click
getsynthpy,yarl
newrelic-synthetic-python-client,loguru
newrelic-synthetic-python-client,requests
Data42,pandas
Data42,matplotlib
Data42,sklearn
Data42,seaborn
Data42,imblearn
Data42,numpy
Data42,scipy
data49,thefuzz[speedup]
data49,requests
data49,beautifulsoup4
data49,selenium
dasy-ml,numpy
synloc,pandas
synloc,matplotlib
synloc,tqdm
synloc,k-means-constrained
synloc,synthia
synloc,numpy
synloc,scikit-learn
synloc,scipy
sempler,rpy2
sempler,pandas
sempler,numpy
dp-cgans,sdv
dp-cgans,pandas
dp-cgans,wheel
dp-cgans,typer
dp-cgans,sklearn
dp-cgans,numpy
dp-cgans,torch
dp-cgans,graphviz
dp-cgans,faker
dp-cgans,rdt
dp-cgans,scipy
dp-cgans,copulas
dp-cgans,pyreadstat
synthgauge,pre-commit
synthgauge,flake8
synthgauge,kmodes
synthgauge,seaborn
synthgauge,synthgauge[docs]
synthgauge,scikit-learn
synthgauge,scipy
synthgauge,hypothesis
synthgauge,pandas
synthgauge,nbsphinx-link
synthgauge,interrogate
synthgauge,black
synthgauge,sphinx-autoapi
synthgauge,sphinx-rtd-theme
synthgauge,pytest-cov
synthgauge,synthgauge[test]
synthgauge,isort
synthgauge,matplotlib
synthgauge,sphinx
synthgauge,pytest-randomly
synthgauge,numpy
synthgauge,pytest
synthgauge,nbsphinx
synthgauge,ipython
zpy-zumo,table-logger
zpy-zumo,tqdm
zpy-zumo,seaborn
zpy-zumo,pydash
zpy-zumo,shapely
zpy-zumo,scikit-image
zpy-zumo,pyyaml
zpy-zumo,numpy
zpy-zumo,versioneer
zpy-zumo,gin-config
zpy-zumo,requests
zpy-zumo,ptvsd
zpy-zumo,click
zpy-zumo,zmq
binubuo,requests
smogn,pandas
smogn,tqdm
smogn,numpy
faim,pandas
faim,pre-commit
faim,matplotlib
faim,plotly
faim,pytest-cov
faim,pooch
faim,pot
faim,jupyter
faim,lxml
faim,pytest
faim,scikit-learn
faim,statsmodels
ganblr,pandas
ganblr,pgmpy
ganblr,tensorflow
ganblr,numpy
ganblr,scikit-learn
ganblr,pyitlib
SyMBac,pandas
SyMBac,matplotlib
SyMBac,ipywidgets
SyMBac,tqdm
SyMBac,pymunk
SyMBac,matplotlib-scalebar
SyMBac,tifffile
SyMBac,scikit-image
SyMBac,joblib
SyMBac,raster-geometry
SyMBac,natsort
SyMBac,psfmodels
SyMBac,napari[all]
SyMBac,jupyterlab
SyMBac,pyglet
insilicodna,pytest
insilicodna,click
scReadSim,pandas
scReadSim,tqdm
scReadSim,pathlib
scReadSim,numpy
scReadSim,joblib
scReadSim,rp2
scReadSim,pysam
datacraft,pycodestyle
datacraft,pytest-mock
datacraft,catalogue
datacraft,pandas
datacraft,asteval
datacraft,pytest-cov
datacraft,jsonschema
datacraft,setuptools
datacraft,flask
datacraft,importlib-metadata
datacraft,pyyaml
datacraft,importlib-resources
datacraft,pytest
datacraft,jinja2
desed,soundfile
desed,pandas
desed,tqdm
desed,dcase-util
desed,numpy
desed,jams
desed,yt-dlp
desed,requests
desed,scaper
coral,sphinx;
coral,intermine;
coral,numpy
coral,matplotlib;
coral,requests;
coral,biopython
synthetig,scikit-learn
synthetig,numpy
synthetig,pandas
synthetig,torch
comparecast,pandas
comparecast,tqdm
comparecast,seaborn
comparecast,openpyxl
comparecast,numpy
comparecast,scipy
comparecast,confseq
bamt,matplotlib
bamt,pandas
bamt,pgmpy
bamt,gmr
bamt,numpy
bamt,missingno
bamt,scikit-learn
bamt,pomegranate
bamt,scipy
bamt,pyvis
bamt,pyitlib
sdgym,sdv
sdgym,wheel
sdgym,invoke
sdgym,gretel-synthetics
sdgym,flake8
sdgym,dask
sdgym,humanfriendly
sdgym,compress-pickle
sdgym,torch
sdgym,scikit-learn
sdgym,psutil
sdgym,rdt
sdgym,rundoc
sdgym,distributed
sdgym,scipy
sdgym,boto3
sdgym,pandas
sdgym,sdmetrics
sdgym,coverage
sdgym,appdirs
sdgym,botocore
sdgym,tabulate
sdgym,tqdm
sdgym,pytest-cov
sdgym,importlib-metadata
sdgym,jupyter
sdgym,watchdog
sdgym,twine
sdgym,isort
sdgym,autopep8
sdgym,tensorflow
sdgym,numpy
sdgym,pip
sdgym,pytest
sdgym,bumpversion
sdgym,pomegranate
sdgym,autoflake
sdgym,tox
sdgym,XlsxWriter
metasynth,pandas
metasynth,wget
metasynth,jsonschema
metasynth,importlib-resources
metasynth,numpy
metasynth,pyarrow
metasynth,polars
metasynth,scikit-learn
metasynth,faker
metasynth,scipy
metasynth,xmltodict
SDG,torch
ctgan,wheel
ctgan,invoke
ctgan,flake8
ctgan,flake8-mock
ctgan,flake8-variables-names
ctgan,torch
ctgan,scikit-learn
ctgan,torchvision
ctgan,rdt
ctgan,flake8-quotes
ctgan,packaging
ctgan,flake8-sfs
ctgan,flake8-multiline-containers
ctgan,rundoc
ctgan,pandas
ctgan,flake8-docstrings
ctgan,coverage
ctgan,flake8-mutable
ctgan,pandas-vet
ctgan,flake8-print
ctgan,flake8-absolute-import
ctgan,flake8-fixme
ctgan,flake8-comprehensions
ctgan,pytest-cov
ctgan,watchdog
ctgan,twine
ctgan,isort
ctgan,pytest-rerunfailures
ctgan,flake8-debugger
ctgan,autopep8
ctgan,flake8-builtins
ctgan,numpy
ctgan,pip
ctgan,flake8-eradicate
ctgan,pytest
ctgan,bumpversion
ctgan,flake8-expression-complexity
ctgan,flake8-pytest-style
ctgan,autoflake
ctgan,tox
ctgan,dlint
synthpops,matplotlib
synthpops,pandas
synthpops,numba
synthpops,cmocean
synthpops,jsonobject
synthpops,networkx
synthpops,seaborn
synthpops,pydot
synthpops,sciris
synthpops,numpy
synthpops,jsbeautifier
synthpops,graphviz
synthpops,covasim
synthpops,scipy
synthpops,cmasher
synthesized,pre-commit
synthesized,sentry-sdk
synthesized,seaborn
synthesized,synthesized-insight
synthesized,analytics-python
synthesized,scikit-learn
synthesized,faker
synthesized,scipy
synthesized,ray[tune]
synthesized,pandas
synthesized,PyYAML
synthesized,tensorflow-probability
synthesized,hypothesis[pandas]
synthesized,tensorflow-privacy
synthesized,pylint
synthesized,rstr
synthesized,prompt-toolkit
synthesized,ax-platform
synthesized,black
synthesized,pytest-cov
synthesized,google-api-python-client
synthesized,synthesized-datasets
synthesized,importlib-metadata
synthesized,jupyter
synthesized,cryptography
synthesized,matplotlib
synthesized,rsa
synthesized,tensorflow
synthesized,numpy
synthesized,tensorflow-macos
synthesized,pytest
synthesized,mypy
zb-common,requests
zb-common,future
zb-common,configparser
zb-common,slackclient
aidatafactory,pandas
aidatafactory,matplotlib
aidatafactory,seaborn
aidatafactory,tensorflow-probability
aidatafactory,tensorflow
aidatafactory,numpy
aidatafactory,scipy
ear-transformers,transformers
Dedomena,pmlb
Dedomena,pymed
Dedomena,pandas
Dedomena,twintel
Dedomena,xmltodict
GANerAid,tab-gan-metrics
GANerAid,pandas
GANerAid,matplotlib
GANerAid,tqdm
GANerAid,seaborn
GANerAid,torch
GANerAid,numpy
GANerAid,scikit-learn
pgsynthdata,Faker
pgsynthdata,numpy
pgsynthdata,prettytable
pgsynthdata,radar
pgsynthdata,toposort
pgsynthdata,psycopg2-binary
pgsynthdata,click
sequgen,pycodestyle
sequgen,isort
sequgen,matplotlib
sequgen,recommonmark
sequgen,wheel
sequgen,sphinx
sequgen,pytest-cov
sequgen,sphinx-rtd-theme
sequgen,pytest-runner
sequgen,prospector[with_pyroma]
sequgen,numpy
sequgen,pytest
sequgen,bumpversion
sequgen,yapf
sequgen,twine
pysimstudy,pandas
