package_name,dependency_pkg
mendel-development-tool,zeroconf
mendel-development-tool,paramiko
qontract-development-cli,pydantic
qontract-development-cli,textual
qontract-development-cli,getkey
qontract-development-cli,Jinja2
qontract-development-cli,rich
qontract-development-cli,typer
qontract-development-cli,appdirs
qontract-development-cli,watchfiles
qontract-development-cli,PyYAML
measure-incremental-development,tokenizer
API7,python-dateutil
API7,requests
API7,mkdocs
API7,numpy
API7,pillow
API7,opencv-python
API7,jupyter
outcome-devkit-api,requests
outcome-devkit-api,fastapi
outcome-devkit-api,outcome-utils
outcome-devkit-api,PyJWT[crypto]
outcome-devkit-api,outcome-devkit
outcome-devkit-api,pactman
loadavgapi,psutil
loadavgapi,flask
apihelpers4py,pytest
apihelpers4py,requests
apihelpers4py,dateutils
apihelpers4py,coverage
apihelpers4py,pandas
apihelpers4py,build
apihelpers4py,pre-commit
apihelpers4py,black
apihelpers4py,versioneer
apihelpers4py,plotly
apihelpers4py,dash
apihelpers4py,fastapi[all]
meraki-api,requests
django-rester,pyjwt
django-rester,django-rediser
django-rester,django
rocketchat-API,packaging
rocketchat-API,requests
oss-api,requests
dexblue-api,web3
dexblue-api,websockets
schoolsoft-api,requests
schoolsoft-api,datetime
chatnoir-api,flake8
chatnoir-api,pytest
chatnoir-api,requests
chatnoir-api,pytest-cov
chatnoir-api,dataclasses-json
chatnoir-api,pylint
chatnoir-api,typing-extensions
atcoder-api,boto3
atcoder-api,tqdm
atcoder-api,requests
atcoder-api,lxml
atcoder-api,pandas
atcoder-api,beautifulsoup4
atcoder-api,aiohttp
atcoder-api,cchardet
atcoder-api,aiodns
atcoder-api,PyYAML
atcoder-api,selenium
zevercloud-api,black
zevercloud-api,pytest
zevercloud-api,requests
nomics-api,requests
emmet-api,boto3
emmet-api,mkdocs
emmet-api,fastapi
emmet-api,pycodestyle
emmet-api,openbabel
emmet-api,mkdocs-material
emmet-api,flake8
emmet-api,types-setuptools
emmet-api,pydocstyle
emmet-api,pre-commit
emmet-api,mypy-extensions
emmet-api,emmet-core[all]
emmet-api,setproctitle
emmet-api,pytest
emmet-api,mkdocs-minify-plugin
emmet-api,pytest-cov
emmet-api,maggma
emmet-api,livereload
emmet-api,gunicorn
emmet-api,mkdocstrings
emmet-api,mkdocs-material-extensions
emmet-api,types-requests
emmet-api,mkdocs-awesome-pages-plugin
emmet-api,wincertstore
emmet-api,mkdocstrings[python]
emmet-api,mkdocs-markdownextradata-plugin
emmet-api,mypy
emmet-api,shapely
emmet-api,ddtrace
emmet-api,uvicorn-tschaume
emmet-api,jinja2
dexp-api,coloredlogs
dexp-api,priority
dexp-api,aiohttp[speedups]
olmen-api,requests
messenger-api,requests
bored-api,aiohttp
oncourse-api,requests
oncourse-api,tomli
api-extractor,flake8
api-extractor,flake8-bugbear
api-extractor,pytest
api-extractor,flake8-comprehensions
api-extractor,pytest-cov
api-extractor,mypy
api-extractor,black
api-extractor,pylint
api-extractor,isort
api-extractor,flake8-executable
chronos-api,flask
chronos-api,iso8601
chronos-api,google-api-python-client
chronos-api,google-auth-httplib2
chronos-api,gunicorn
chronos-api,google-auth-oauthlib
peachweb-api,requests
aqualink-api,python-dateutil
aqualink-api,urllib3
pypal-api,oauth2client
pypal-api,ShopifyAPI
pypal-api,requests
pypal-api,pandas
pypal-api,fastapi
pypal-api,gspread
pypal-api,numpy
pypal-api,monday
pypal-api,python-dotenv
sevco-api,python-dateutil
sevco-api,httpx
sevco-api,attrs
Reverso-API,pygame
Reverso-API,requests
Reverso-API,beautifulsoup4
Reverso-API,lxml
carskit-api,pickleDB
carskit-api,cryptography
carskit-api,pymongo
carskit-api,dnspython
carskit-api,cliff
meteofrance-api,pytz
meteofrance-api,requests
meteofrance-api,typing-extensions
meteofrance-api,urllib3
skyward-api,requests-html
skyward-api,mypy
pixelscamp-api,requests
h-api,jsonschema
h-api,importlib-resources
persiann-api,numpy
persiann-api,GDAL
persiann-api,Pillow
persiann-api,setuptools
plenty-api,simplejson
plenty-api,keyring
plenty-api,tqdm
plenty-api,requests
plenty-api,pandas
plenty-api,python-gnupg
senaite.api,senaite.core
senaite.api,robotframework-selenium2library;
senaite.api,robotframework-debuglibrary;
senaite.api,setuptools
senaite.api,Products.SecureMailHost;
senaite.api,plone.api
senaite.api,plone.app.robotframework;
senaite.api,robotsuite;
senaite.api,Products.PloneTestCase;
senaite.api,plone.app.testing;
senaite.api,unittest2;
glpi-api,requests
glotio-api,requests
Countries-API,cachecontrol
Countries-API,python-dateutil
Countries-API,requests
Countries-API,jsonpickle
pds-api,sphinx
pds-api,pytest-xdist
pds-api,sphinxcontrib-redoc
pds-api,black
pds-api,tox
pds-api,flake8
pds-api,types-setuptools
pds-api,pre-commit
pds-api,flake8-bugbear
pds-api,pytest
pds-api,coverage
pds-api,pytest-cov
pds-api,pep8-naming
pds-api,flake8-docstrings
pds-api,pytest-watch
pds-api,sphinxcontrib-openapi
pds-api,mypy
pds-api,sphinx-rtd-theme
pds-api,pydocstyle
lendsmart-api,enum34
lendsmart-api,future
lendsmart-api,requests
lendsmart-api,retry
github3api,rest3client
gatecoin-api,pytz
gatecoin-api,marshmallow
gatecoin-api,requests
iterable-api,requests
odoo-api,simplejson
odoo-api,aiohttp
odoo-api,requests
plotserver-api,cryptography
plotserver-api,requests
zendesk_api,appier
rayvision-api,Cerberus
rayvision-api,attrs
rayvision-api,requests
rayvision-api,cattrs
rayvision-api,tenacity
rayvision-api,rayvision-log
rayvision-api,future
equilibrator-api,python-slugify
equilibrator-api,equilibrator-cache
equilibrator-api,click-log
equilibrator-api,black
equilibrator-api,tox
equilibrator-api,pytest-raises
equilibrator-api,requests
equilibrator-api,cobra
equilibrator-api,safety
equilibrator-api,pytest-allclose
equilibrator-api,sbtab
equilibrator-api,twine
equilibrator-api,pyparsing
equilibrator-api,python-dateutil
equilibrator-api,pytest
equilibrator-api,pytest-cov
equilibrator-api,click
equilibrator-api,component-contribution
equilibrator-api,isort
instagram_api,appier
fritzbox-api,requests
prodigy-api,requests-cache
prodigy-api,requests
prodigy-api,beautifulsoup4
prodigy-api,lxml
boonli-api,python-dateutil
boonli-api,requests-toolbelt
boonli-api,requests
boonli-api,lxml
boonli-api,icalendar
boonli-api,bs4
boonli-api,typing-extensions
voicemeeter-api,tomli
plenario-api,plenario-exporter-s3
plenario-api,Django
