package_name,language
maetl-development,Python
mendel-development-tool,Python
maetl-custom-development,Python
django-development-utils,Python
SA-development-utils,Python
qontract-development-cli,Python
measure-incremental-development,Python
cannerflow-python-client-development,Python
API7,Python
outcome-devkit-api,Python
loadavgapi,Python
apihelpers4py,Python
meraki-api,Python
django-rester,Python
gew,Python
fortigate-api,Python
oss-api,Python
dexblue-api,Python
chatnoir-api,Python
atcoder-api,Python
zevercloud-api,Python
nomics-api,Python
api-client,Python
mercedes-api,Python
dexp-api,Python
olmen-api,Python
messenger-api,Python
bored-api,Python
oncourse-api,Python
api-extractor,Python
git-api,Python
chronos-api,Python
peachweb-api,Python
pypal-api,Python
sevco-api,Python
pyfootball-api,Python
bds-api,Python
Reverso-API,Python
meteofrance-api,Python
skyward-api,Python
tfl-api,Python
h-api,Python
geokrety-api,Python
persiann-api,Python
plenty-api,Python
nodeping-api,Python
senaite.api,Python
glpi-api,Python
pyenv-api,Python
glotio-api,Python
pds-api,Python
lendsmart-api,Python
github3api,Python
limesurveyrc2api,Python
gatecoin-api,Python
iterable-api,Python
webanalyzer-api,Python
odoo-api,Python
carbon-api,Python
plotserver-api,Python
zendesk_api,Python
rayvision-api,Python
jeff-api,Python
equilibrator-api,Python
instagram_api,Python
fritzbox-api,Python
lingo-api,Python
prodigy-api,Python
boonli-api,Python
notepadqq_api,Python
rd-api,Python
rd-api,Haskell
voicemeeter-api,Python
plenario-api,Python
jquote-api,Python
devsecops-api,Python
copyscape-api,Python
TelegramBot-API,Python
onedep-api,Python
