package_name,language
backend-utils,Python
marcobootstrap.backend,Python
legistream-backend,Python
backend-base,Python
solid-backend,Python
ndar-backend,Python
trading-backend,Python
cdp-backend,Python
naneos-backend,Python
pyramid_backend,Python
remesh-backend,Python
kotti_backend,Python
bootpay-backend,Python
viasp-backend,Python
concrete-backend,Python
ECAuth0Backend,Python
karp-backend-5,Python
debug-backend,Python
hcf-backend,Python
nucleaizer-backend,Python
themetadb-backend,Python
punge-backend,Rust
punge-backend,Python
otmcm-backend,Python
foggy-backend,Python
webplatform-backend,Python
PyStratum-Backend,Python
opensarlab-backend,Python
paperwork-backend,Python
yukon-backend,JavaScript
yukon-backend,Python
concretefhe-backend,Python
cse546backend,Python
jax-backend,Python
pipUI-backend,Python
cppyy-backend,C++
cppyy-backend,C
libervia-backend,Python
yukon-backend,JavaScript
yukon-backend,Python
pdm-backend,Python
karp-backend,Python
django-imap-backend,Python
redis-cluster-backend,Python
django-logingov-backend,Python
permission-backend-nonrel,Python
dictum-backend-vertica,Python
backend.ai-cli,Python
rxt-backend-base,Python
elice-backend-components,Python
django-snowflake-backend,Python
errbot-backend-webapp,Python
dictum-backend-postgres,Python
varapp-backend-py,Python
anyconfig-msgpack-backend,Python
django-admin-backend,Python
pysigma-backend-insightidr,Python
blueqat-gk-backend,Python
pants-backend-mdbook,Python
django-impala-backend,Python
cc-backend-lib,Python
django-mailqueue-backend,Python
executor-s3-backend,Python
pysigma-backend-netwitness,Python
esp-debug-backend,Python
django-gmailapi-backend,Python
wallaby-backend-elasticsearch,Python
django-acra-backend,Python
django-mailersend-backend,Python
err-backend-discord,Python
django-etna-backend,Python
punge-rust-backend,Rust
punge-rust-backend,Python
pysigma-backend-elasticsearch,Python
matplotlib-backend-notcurses,Python
pysigma-backend-opensearch,Python
delphai-backend-utils,Python
wirepas-backend-client,Python
oebl-research-backend,Python
backend.ai-agent,Python
matplotlib-backend-kitty,Python
