package_name,dependency_pkg
naneos-backend,requests
naneos-backend,bleak
naneos-backend,pyserial
naneos-backend,pandas
naneos-backend,numpy
naneos-backend,influxdb-client
karp-backend,Deprecated
karp-backend,urllib3
karp-backend,environs
karp-backend,injector
karp-backend,sqlalchemy-utils
karp-backend,PyMySQL
karp-backend,tabulate
karp-backend,ulid-py
karp-backend,paradigmextract
karp-backend,elasticsearch
karp-backend,TatSu
karp-backend,regex
karp-backend,pydantic
karp-backend,sb-json-tools
karp-backend,sqlalchemy-json
karp-backend,json-streams
karp-backend,pyjwt[crypto]
karp-backend,tqdm
karp-backend,elasticsearch-dsl
karp-backend,tenacity
karp-backend,python-json-logger
karp-backend,fastapi
karp-backend,aiomysql
karp-backend,python-dotenv
karp-backend,typer
karp-backend,aiosqlite
karp-backend,mysqlclient
karp-backend,alembic
karp-backend,sqlalchemy
karp-backend,asgi-correlation-id
cdp-backend,prefect
cdp-backend,m2r2
cdp-backend,fireo
cdp-backend,sphinx-copybutton
cdp-backend,pydot
cdp-backend,numpydoc
cdp-backend,backoff
cdp-backend,networkx
cdp-backend,ruff
cdp-backend,graphviz
cdp-backend,pydub
cdp-backend,Sphinx
cdp-backend,pre-commit
cdp-backend,furo
cdp-backend,aiohttp
cdp-backend,pandas
cdp-backend,dataclasses-json
cdp-backend,ipython
cdp-backend,mypy
cdp-backend,types-PyYAML
cdp-backend,pytest
cdp-backend,dask[distributed]
cdp-backend,vimeo-downloader
cdp-backend,yt-dlp
cdp-backend,ffmpeg-python
cdp-backend,types-requests
cdp-backend,types-pytz
cdp-backend,functions-framework
cdp-backend,google-cloud-firestore
cdp-backend,tqdm
cdp-backend,pytest-cov
cdp-backend,imageio-ffmpeg
cdp-backend,rapidfuzz
cdp-backend,spacy-transformers
cdp-backend,flask
cdp-backend,openai-whisper
cdp-backend,pytest-raises
cdp-backend,PyYAML
cdp-backend,check-manifest
cdp-backend,nltk
cdp-backend,coverage
cdp-backend,m3u8-To-MP4
cdp-backend,requests
cdp-backend,gcsfs
cdp-backend,docutils
cdp-backend,transformers
cdp-backend,fsspec
cdp-backend,imageio
cdp-backend,spacy
cdp-backend,numpy
cdp-backend,black
cdp-backend,bokeh
cdp-backend,pyarrow
cdp-backend,torch
solid-backend,django-stdimage
solid-backend,djangorestframework
solid-backend,django-mptt
solid-backend,django-taggit
solid-backend,mutagen
solid-backend,pillow
solid-backend,psycopg2-binary
solid-backend,django-cleanup
solid-backend,django
solid-backend,django-filter
legistream-backend,m3u8
legistream-backend,requests
legistream-backend,bs4
legistream-backend,websocket
legistream-backend,pytest
legistream-backend,lxml
legistream-backend,websocket-client
legistream-backend,ImageHash
bootpay-backend,requests[security]
bootpay-backend,requests
viasp-backend,requests
viasp-backend,flask-cors
viasp-backend,clingo
viasp-backend,numpy
viasp-backend,pytest
viasp-backend,clingox
viasp-backend,igraph
viasp-backend,flask
viasp-backend,networkx
backend-utils,httpx
backend-utils,fastapi
