package_name,dependency_pkg
pybot-chatgpt,openai
ChatGPT-lite,asyncio
ChatGPT-lite,python-socketio[client]
chatgpt-repl,termcolor
chatgpt-repl,openai
chatgpt-repl,halo
chatgpt-gui,autopep8>=2.0.1
chatgpt-gui,toml>=0.10.2
chatgpt-gui,bandit>=1.7.4
chatgpt-gui,python-dotenv>=0.21.0
chatgpt-gui,pylint>=2.15.8
chatgpt-gui,beautifulsoup4>=4.11.1
chatgpt-gui,tls-client>=0.1.5
chatgpt-gui,PySide6-Essentials>=6.4.1
chatgpt-gui,pyright>=1.1.284
chatgpt-gui,undetected-chromedriver>=3.1.7
chatgpt-mixin,pyyaml
chatgpt-mixin,openai
chatgpt-mixin,mixin-python
chatgpt-mixin,cf-clearance
chatgpt-mixin,playwright
chatGPT-debugger,openai
chatGPT-debugger,keyring
chatgpt,rich
chatgpt,tls-client
hack-chatgpt,jinja2
hack-chatgpt,flask_restx
hack-chatgpt,jsonref
hack-chatgpt,grpcio
hack-chatgpt,pydantic
hack-chatgpt,grpcio-health-checking
hack-chatgpt,plumbum
hack-chatgpt,protobuf
hack-chatgpt,grpcio-tools
chatgpt-api,httpx
chatgpt-api,typer[all]
go-chatgpt,openai
go-chatgpt,setuptools
go-chatgpt,transformers
go-chatgpt,gradio
go-chatgpt,matplotlib
go-chatgpt,torch
chatgpt-tui,textual
chatgpt-tui,httpx
chatgpt-tui,pyperclip
chatgpt-telegram,pyyaml
chatgpt-telegram,openai
chatgpt-telegram,python-telegram-bot
chatgpt-telegram,cf-clearance
chatgpt-telegram,playwright
Pandora-ChatGPT,sqlalchemy
Pandora-ChatGPT,flask-cors
Pandora-ChatGPT,pyreadline3
Pandora-ChatGPT,appdirs
Pandora-ChatGPT,aiohttp
Pandora-ChatGPT,yoyo-migrations
Pandora-ChatGPT,rich
Pandora-ChatGPT,requests[socks]
Pandora-ChatGPT,flask
Pandora-ChatGPT,waitress
Pandora-ChatGPT,certifi
Pandora-ChatGPT,loguru
Pandora-ChatGPT,sentry-sdk
Pandora-ChatGPT,pandora-tiktoken
Pandora-ChatGPT,werkzeug
chatgpt-client,aiohttp
chatgpt-cli-md,pyyaml
chatgpt-cli-md,openai
chatgpt-cli-md,rich
ChatGPT-PyBot,rich
ChatGPT-PyBot,requests
ChatGPT-PyBot,OpenAIAuth
chatgpt-search,openai
chatgpt-search,black
chatgpt-search,pytest
chatgpt-search,tomli
chatgpt-search,pip-tools
chatgpt-search,isort
chatgpt-search,sgmllib3k
chatgpt-search,html2text
chatgpt-search,bumpver
