package_name,dependency_pkg
chatgpt-search,black
chatgpt-search,tomli
chatgpt-search,pytest
chatgpt-search,isort
chatgpt-search,pip-tools
chatgpt-search,bumpver
chatgpt-search,html2text
chatgpt-search,sgmllib3k
chatgpt-search,openai
ChatGPT-PyBot,rich
ChatGPT-PyBot,requests
ChatGPT-PyBot,OpenAIAuth
go-chatgpt,transformers
go-chatgpt,matplotlib
go-chatgpt,setuptools
go-chatgpt,torch
go-chatgpt,gradio
go-chatgpt,openai
hack-chatgpt,jinja2
hack-chatgpt,jsonref
hack-chatgpt,protobuf
hack-chatgpt,grpcio-health-checking
hack-chatgpt,plumbum
hack-chatgpt,grpcio
hack-chatgpt,pydantic
hack-chatgpt,grpcio-tools
hack-chatgpt,flask_restx
ChatGPT-lite,python-socketio[client]
ChatGPT-lite,asyncio
chatgpt-repl,halo
chatgpt-repl,termcolor
chatgpt-repl,openai
chatgpt-cli-md,rich
chatgpt-cli-md,pyyaml
chatgpt-cli-md,openai
Pandora-ChatGPT,sqlalchemy
Pandora-ChatGPT,flask-cors
Pandora-ChatGPT,sentry-sdk
Pandora-ChatGPT,appdirs
Pandora-ChatGPT,waitress
Pandora-ChatGPT,certifi
Pandora-ChatGPT,rich
Pandora-ChatGPT,flask
Pandora-ChatGPT,werkzeug
Pandora-ChatGPT,pyreadline3
Pandora-ChatGPT,yoyo-migrations
Pandora-ChatGPT,pandora-tiktoken
Pandora-ChatGPT,requests[socks]
Pandora-ChatGPT,loguru
Pandora-ChatGPT,aiohttp
chatgpt-mixin,mixin-python
chatgpt-mixin,playwright
chatgpt-mixin,pyyaml
chatgpt-mixin,openai
chatgpt-mixin,cf-clearance
chatgpt-client,aiohttp
chatGPT-debugger,keyring
chatGPT-debugger,openai
chatgpt-telegram,python-telegram-bot
chatgpt-telegram,playwright
chatgpt-telegram,pyyaml
chatgpt-telegram,openai
chatgpt-telegram,cf-clearance
chatgpt,rich
chatgpt,tls-client
pybot-chatgpt,openai
chatgpt-gui,python-dotenv>=0.21.0
chatgpt-gui,undetected-chromedriver>=3.1.7
chatgpt-gui,PySide6-Essentials>=6.4.1
chatgpt-gui,tls-client>=0.1.5
chatgpt-gui,autopep8>=2.0.1
chatgpt-gui,pylint>=2.15.8
chatgpt-gui,pyright>=1.1.284
chatgpt-gui,bandit>=1.7.4
chatgpt-gui,toml>=0.10.2
chatgpt-gui,beautifulsoup4>=4.11.1
chatgpt-tui,pyperclip
chatgpt-tui,httpx
chatgpt-tui,textual
chatgpt-api,typer[all]
chatgpt-api,httpx
