package_name,dependency_pkg
neural-structured-learning,attrs
neural-structured-learning,scipy
neural-structured-learning,absl-py
neural-structured-learning,six
adversarial-lib,jupyter
adversarial-lib,numpy
adversarial-gym,python-chess
adversarial-gym,pygame
adversarial-gym,pillow
adversarial-gym,numpy
adversarial-gym,cairosvg
adversarial-gym,gym
pyradox-generative,tensorflow
pyradox-generative,tensorflow-addons
TensorPG,tensorflow
TensorPG,numpy
TensorPG,keras
TensorPG,tensorflow-text
TensorPG,matplotlib
dcgan-pytorch,torch
keras-adversarial,Keras
gan-pytorch,torch
adversarial-labeller,pycparser
adversarial-labeller,urllib3
adversarial-labeller,webencodings
adversarial-labeller,keyring
adversarial-labeller,pygments
adversarial-labeller,jeepney
adversarial-labeller,more-itertools
adversarial-labeller,twine
adversarial-labeller,numpy
adversarial-labeller,chardet
adversarial-labeller,requests-toolbelt
adversarial-labeller,cryptography
adversarial-labeller,sklearn
adversarial-labeller,py
adversarial-labeller,idna
adversarial-labeller,pandas
adversarial-labeller,certifi
adversarial-labeller,six
adversarial-labeller,docutils
adversarial-labeller,python-dateutil
adversarial-labeller,importlib-metadata
adversarial-labeller,secretstorage
adversarial-labeller,attrs
adversarial-labeller,requests
adversarial-labeller,bleach
adversarial-labeller,readme-renderer
adversarial-labeller,joblib
adversarial-labeller,imbalanced-learn
adversarial-labeller,zipp
adversarial-labeller,pyparsing
adversarial-labeller,pkginfo
adversarial-labeller,wcwidth
adversarial-labeller,cffi
adversarial-labeller,tqdm
adversarial-labeller,pluggy
adversarial-labeller,scikit-learn
adversarial-labeller,scipy
adversarial-labeller,packaging
adversarial-labeller,pytz
adversarial-labeller,pytest
generateme,gevent
generateme,future
generateme,Pillow
generateme,numpy
generateme,matplotlib
generateme,flask
gans2,pyyaml
gans2,overrides
gans2,Pillow
gans2,tqdm
gans2,easydict
gans2,tensorflow
gans2,tensorflow-addons
gans2,imageio
gans2,matplotlib
gans2,tensorflow-datasets
adversarial-friend,importlib-resources
adversarial-friend,pandas
adversarial-friend,tensorflow
adversarial-friend,numpy
adversarial-friend,matplotlib
adversarial-friend,Keras
