package_name,dependency_pkg
ensemble-gnn,pandas
ensemble-gnn,scipy
ensemble-gnn,numpy
ensemble-gnn,scikit-learn
cg-gnn,tqdm
cg-gnn,scipy
cg-gnn,numpy
cg-gnn,scikit-learn
cg-gnn,pandas
cg-gnn,networkx
cg-gnn,psycopg2-binary
cg-gnn,matplotlib
cg-gnn,pyshp
cg-gnn,bokeh
cg-gnn,tables
cg-gnn,h5py
graph2gnn,requests
graph2gnn,pandas
graph2gnn,tqdm
tensorflow-gnn,pyarrow
tensorflow-gnn,google-vizier
tensorflow-gnn,networkx
tensorflow-gnn,tensorflow-macos
tensorflow-gnn,ml-collections
tensorflow-gnn,apache-beam
tensorflow-gnn,tensorflow
gnn-trainer,tqdm
gnn-trainer,scikit-learn
gnn-trainer,numpy
gnn-trainer,requests
gnn-trainer,torch
graphgym,tensorboardx
graphgym,ogb
graphgym,numpy
graphgym,deepsnap
graphgym,networkx
graphgym,yacs
graphgym,torch
graphgym,torch-geometric
graph-conv-memory,torchtyping
graph-conv-memory,sparsemax
graph-conv-memory,torch
graph-conv-memory,torch-geometric
gnntf,scipy
gnntf,numpy
gnntf,sklearn
gnntf,networkx
gnntf,tensorflow
pydance,tqdm
pydance,numpy
pydance,opencv-python
pydance,networkx
pydance,pre-commit
pydance,python-igraph
pydance,rdata
pydance,scanpy
pydance,psutil
pydance,scipy
pydance,scikit-learn
pydance,pytest
pydance,scikit-misc
pydance,requests
pydance,pytest-xdist
pydance,skorch
pydance,pandas
pydance,seaborn
pydance,numba
pydance,leidenalg
pydance,tox
pydance,statsmodels
pydance,openpyxl
pydance,tables
pydance,h5py
xcauto,jaxlib
xcauto,black
xcauto,jax
xcauto,pytest
ignnition,networkx
ignnition,pyyaml
ignnition,tensorflow
ignnition,jsonschema
ignnition,importlib-metadata
FantasticHelpers,torch-geometric
pyg-multiagent,wandb
pyg-multiagent,tqdm
pyg-multiagent,scipy
pyg-multiagent,numpy
pyg-multiagent,pytest
pyg-multiagent,matplotlib
pyg-multiagent,pre-commit
pyg-multiagent,pybullet
pyg-multiagent,pytest-cov
pyg-multiagent,cvxpy
rechub,numpy
rechub,scikit-learn
rechub,pandas
rechub,enlighten
rechub,coloredlogs
rechub,torch
rechub,tensorboard
neuralogic,halo
neuralogic,JPype1
neuralogic,numpy
cogdl,ogb
cogdl,tqdm
cogdl,scipy
cogdl,transformers
cogdl,numpy
cogdl,grave
cogdl,scikit-learn
cogdl,sentencepiece
cogdl,networkx
cogdl,numba
cogdl,matplotlib
cogdl,ninja
cogdl,flake8
cogdl,gensim
cogdl,optuna
cogdl,pre-commit
cogdl,torch
cogdl,tabulate
ptgnn,azureml
ptgnn,tqdm
ptgnn,numpy
ptgnn,dpu-utils
ptgnn,isort
ptgnn,torch-scatter
ptgnn,jellyfish
ptgnn,pre-commit
ptgnn,black
ptgnn,torch
ptgnn,typing-extensions
lovpy,sklearn
lovpy,numpy
lovpy,pandas
lovpy,networkx
lovpy,matplotlib
fedgraph,pytest
fedgraph,build
fedgraph,torch-sparse
fedgraph,torch-cluster
fedgraph,torch-scatter
fedgraph,pre-commit
fedgraph,torch-geometric
fedgraph,torch-spline-conv
fedgraph,mypy
nmrgnn-data,importlib-resources
nmrgnn-data,numpy
nmrgnn-data,click
nmrgnn-data,gsd
nmrgnn-data,MDAnalysis
nmrgnn-data,tensorflow
nmrgnn-data,biopython
nmrgnn-data,pdbfixer
nbdev-cards-nix-flake,pandas
nbdev-cards-nix-flake,fastcore
nbdev-cards-nix-flake,pytz
segnn-jax,optax
segnn-jax,numpy
segnn-jax,jraph
segnn-jax,dm-haiku
segnn-jax,e3nn-jax
segnn-jax,jax
fastrec,fastapi
fastrec,uvicorn
fastrec,tqdm
fastrec,pandas
torchsketch,gdown
torchsketch,scipy
torchsketch,torchnet
torchsketch,pdf2image
torchsketch,numpy
torchsketch,Pillow
torchsketch,pyunpack
torchsketch,wget
torchsketch,patool
torchsketch,pyfiglet
torchsketch,imageio
torchsketch,torchvision
torchsketch,CairoSVG
torchsketch,torch
deepgnn-ge,opencensus-ext-azure
deepgnn-ge,scipy
deepgnn-ge,fsspec
deepgnn-ge,numpy
deepgnn-ge,scikit-learn
deepgnn-ge,networkx
deepgnn-ge,azure-datalake-store
text4gcn,stanfordcorenlp
text4gcn,scikit-learn
text4gcn,nltk
text4gcn,matplotlib
text4gcn,gensim
text4gcn,torch
text4gcn,tabulate
pynuml,mpi4py
pynuml,pandas
pynuml,particle
pynuml,torch
pynuml,torch-geometric
pynuml,h5py
nleval,tqdm
nleval,numpy
nleval,pytest-subtests
nleval,nleval[pyroe]
nleval,pre-commit
nleval,pytest-cov
nleval,mygene
nleval,scanpy
nleval,scipy
nleval,scikit-learn
nleval,pytest
nleval,ndex2
nleval,parameterized
nleval,pytest-xdist
nleval,bump2version
nleval,pyroe
nleval,pyyaml
nleval,tox
nleval,pytest-mock
deeprankcore,tqdm
deeprankcore,numpy
deeprankcore,protobuf
deeprankcore,networkx
deeprankcore,pycodestyle
deeprankcore,python-louvain
deeprankcore,pytest-cov
deeprankcore,torch-geometric
deeprankcore,tensorboard
deeprankcore,torch-spline-conv
deeprankcore,prospector[with_pyroma]
deeprankcore,chart-studio
deeprankcore,sphinx-rtd-theme
deeprankcore,torch-cluster
deeprankcore,torch-scatter
deeprankcore,biopython
deeprankcore,coveralls
deeprankcore,pdb2sql
deeprankcore,scipy
deeprankcore,scikit-learn
deeprankcore,wheel
deeprankcore,pytest
deeprankcore,tables
deeprankcore,build
deeprankcore,torch-sparse
deeprankcore,markov-clustering
deeprankcore,bump2version
deeprankcore,twine
deeprankcore,sphinx
deeprankcore,coverage
deeprankcore,isort
deeprankcore,yapf
deeprankcore,matplotlib
deeprankcore,recommonmark
deeprankcore,freesasa
deeprankcore,pytest-runner
deeprankcore,h5xplorer
deeprankcore,h5py
graph-ood,ogb
graph-ood,tqdm
graph-ood,gdown
graph-ood,sphinx
graph-ood,protobuf
graph-ood,networkx
graph-ood,pytest
graph-ood,sphinx-rtd-theme
graph-ood,matplotlib
graph-ood,ruamel.yaml
graph-ood,typed-argument-parser
graph-ood,munch
graph-ood,pytest-xdist
graph-ood,pytest-cov
graph-ood,cilog
graph-ood,tensorboard
paperscraper,tqdm
paperscraper,pandas
paperscraper,arxiv
paperscraper,seaborn
paperscraper,matplotlib
paperscraper,requests
paperscraper,matplotlib-venn
paperscraper,scholarly
paperscraper,pymed
paperscraper,bs4
sgl-dair,ogb
sgl-dair,tqdm
sgl-dair,scipy
sgl-dair,numpy
sgl-dair,scikit-learn
sgl-dair,networkx
sgl-dair,gensim
sgl-dair,munkres
sgl-dair,torch
sgl-dair,openbox
paddlefsl,requests
paddlefsl,tqdm
paddlefsl,numpy
cellvgae,umap-learn
cellvgae,tqdm
cellvgae,numpy
cellvgae,scikit-learn
cellvgae,pandas
cellvgae,seaborn
cellvgae,torch-sparse
cellvgae,matplotlib
cellvgae,hdbscan
cellvgae,scanpy
cellvgae,torch-scatter
cellvgae,termcolor
cellvgae,torch
cellvgae,torch-geometric
cellvgae,anndata
gratin,tqdm
gratin,scipy
gratin,sphinx
gratin,numpy
gratin,umap-learn[parametric_umap]
gratin,pytest
gratin,setuptools
gratin,matplotlib
gratin,fbm
gratin,tensorflow
gratin,keras
gratin,pytorch-lightning
gratin,torch
gratin,pytest-cov
gratin,importlib-metadata
solitairenet,numpy
dm-clrs,optax
dm-clrs,jaxlib
dm-clrs,tfds-nightly
dm-clrs,absl-py
dm-clrs,numpy
dm-clrs,attrs
dm-clrs,opt-einsum
dm-clrs,dm-haiku
dm-clrs,jax
dm-clrs,tensorflow
dm-clrs,six
dm-clrs,chex
dm-clrs,toolz
nebula-dgl,nebula3-python
neuralkg,wandb
neuralkg,pytorch-lightning
neuralkg,IPython
neuralkg,PyYAML
deep-xf,tqdm
deep-xf,pandas-profiling
deep-xf,scikit-learn
deep-xf,pandas
deep-xf,ipython
deep-xf,jupyter
deep-xf,seaborn
deep-xf,py-ecg-detectors
deep-xf,matplotlib
deep-xf,shap
deep-xf,keras
deep-xf,statsmodels
deep-xf,torch
libauc,scikit-learn
libauc,numpy
libauc,pandas
libauc,Pillow
libauc,scikit-image
libauc,opencv-python
libauc,torch
bijou,tqdm
bijou,networkx
bijou,matplotlib
bijou,requests
bijou,torch
sagod,sklearn
sagod,numpy
sagod,pyod
sagod,torch
sagod,torch-geometric
fostool,numpy
fostool,scikit-learn
fostool,addict
fostool,pandas
fostool,matplotlib
fostool,pyyaml
graphscope,gs-engine
graphscope,gs-coordinator
graphscope,gs-include
graphscope,gs-apps
graphscope-client,tqdm
graphscope-client,packaging
graphscope-client,numpy
graphscope-client,protobuf
graphscope-client,networkx
graphscope-client,vineyard-io
graphscope-client,gremlinpython
graphscope-client,black
graphscope-client,pytest-cov
graphscope-client,tomli
graphscope-client,pytest-timeout
graphscope-client,kubernetes
graphscope-client,nest-asyncio
graphscope-client,sphinx-rtd-theme
graphscope-client,Pygments
graphscope-client,PyYAML
graphscope-client,psutil
graphscope-client,scipy
graphscope-client,docutils
graphscope-client,pylint
graphscope-client,pytest
graphscope-client,wheel
graphscope-client,breathe
graphscope-client,grpcio-tools
graphscope-client,grpcio
graphscope-client,pyarrow
graphscope-client,pysimdjson
graphscope-client,sphinx
graphscope-client,pandas
graphscope-client,isort
graphscope-client,vineyard
graphscope-client,Cython
graphscope-client,recommonmark
graphscope-client,flake8
graphscope-client,m2r2
graphscope-client,msgpack
graphscope-client,orjson
gs-coordinator,tqdm
gs-coordinator,packaging
gs-coordinator,protobuf
gs-coordinator,cmake
gs-coordinator,kubernetes
gs-coordinator,vineyard
gs-coordinator,vineyard-io
gs-coordinator,isort
gs-coordinator,prometheus-client
gs-coordinator,setuptools
gs-coordinator,flake8
gs-coordinator,PyYAML
gs-coordinator,etcd-distro
gs-coordinator,black
gs-coordinator,graphscope-client
gs-coordinator,grpcio-tools
gs-coordinator,grpcio
pygnn,dgl-cu101
pygnn,click
pygnn,jupyter
pygnn,jupyterlab
pygnn,flake8
pygnn,black
gcastle,tqdm
gcastle,scipy
gcastle,scikit-learn
gcastle,numpy
gcastle,pandas
gcastle,networkx
gcastle,matplotlib
graphgallery,tqdm
graphgallery,scipy
graphgallery,numpy
graphgallery,scikit-learn
