name,dependency_pkg
blif2graph,blifparser
blif2graph,graphviz
cprofile_graph,click
cprofile_graph,pygraphviz
cprofile_graph,gprof2dot
compile-graph,watchdog
compile-graph,docopt
compile-graph,graphviz
synapse_graph,pyvis>=0.3.1
synapse_graph,requests>=2.28.1
graph-measures,matplotlib
graph-measures,scipy
graph-measures,pandas
graph-measures,bitstring
graph-measures,future
graph-measures,scikit-learn
graph-measures,setuptools
graph-measures,python-louvain
graph-measures,numpy
graph-measures,torch
graph-measures,networkx
notion-graph,matplotlib>=3.6.3
notion-graph,notion-client>=2.0.0
notion-graph,networkx>=3.0
call-graph,more-itertools
pydot,pyparsing
aranet4-graph,matplotlib
aranet4-graph,pandas
aranet4-graph,seaborn
aranet4-graph,numpy
aranet4-graph,dateparser
d3graph,pandas
d3graph,jinja2
d3graph,ismember
d3graph,python-louvain
d3graph,markupsafe
d3graph,packaging
d3graph,numpy
d3graph,colourmap
d3graph,networkx
igraph,matplotlib
igraph,numpy
igraph,scipy
igraph,pandas
igraph,Sphinx
igraph,cairocffi
igraph,pytest
igraph,Pillow
igraph,pytest-timeout
igraph,plotly
igraph,networkx
igraph,sphinxbootstrap4theme
igraph,texttable
graph-trackintel,scipy
graph-trackintel,matplotlib
graph-trackintel,trackintel
graph-trackintel,psycopg2
graph-trackintel,numpy
graph-trackintel,pyproj
graph-trackintel,networkx
ahp-graph,orjson
ahp-graph,pygraphviz
bokeh,contourpy
bokeh,pandas
bokeh,xyzservices
bokeh,PyYAML
bokeh,tornado
bokeh,pillow
bokeh,packaging
bokeh,numpy
bokeh,Jinja2
plotly,tenacity
plotly,packaging
holoviews,pandas
holoviews,param
holoviews,cftime
holoviews,datashader
holoviews,pydata-sphinx-theme
holoviews,setuptools
holoviews,pillow
holoviews,mpl-sample-data
holoviews,cudf
holoviews,streamz
holoviews,notebook
holoviews,pre-commit
holoviews,dash
holoviews,sphinx-copybutton
holoviews,netcdf4
holoviews,panel
holoviews,packaging
holoviews,ruff
holoviews,xarray
holoviews,ibis-framework
holoviews,flaky
holoviews,spatialpandas
holoviews,pscript
holoviews,matplotlib
holoviews,pytest-xdist
holoviews,pytest
holoviews,nbval
holoviews,scikit-image
holoviews,bokeh
holoviews,plotly
holoviews,pyviz-comms
holoviews,pooch
holoviews,nbconvert
holoviews,scipy
holoviews,pyarrow
holoviews,graphviz
holoviews,shapely
holoviews,pytest-cov
holoviews,pyct
holoviews,ffmpeg
holoviews,dask
holoviews,codecov
holoviews,selenium
holoviews,nbsite
holoviews,ipython
holoviews,numpy
holoviews,colorcet
holoviews,networkx
seaborn,statsmodels>=0.10
seaborn,sphinx-issues
seaborn,scipy>=1.3
seaborn,ipykernel
seaborn,"matplotlib>=3.1,!=3.6.1"
seaborn,pre-commit
seaborn,flake8
seaborn,flit
seaborn,sphinx-copybutton
seaborn,pandas>=0.25
seaborn,numpydoc
seaborn,pydata_sphinx_theme==0.10.0rc2
seaborn,pytest-xdist
seaborn,pandas-stubs
seaborn,pyyaml
seaborn,nbconvert
seaborn,mypy
seaborn,pytest-cov
seaborn,sphinx-design
seaborn,"numpy>=1.17,!=1.24.0"
seaborn,typing_extensions;
seaborn,pytest
networkx,sympy
networkx,pandas
networkx,lxml
networkx,pydata-sphinx-theme
networkx,pillow
networkx,sphinx-gallery
networkx,pre-commit
networkx,pydot
networkx,numpydoc
networkx,nb2plots
networkx,matplotlib
networkx,numpy
networkx,pygraphviz
networkx,texext
networkx,scipy
networkx,mypy
networkx,pytest-cov
networkx,sphinx
networkx,codecov
networkx,pytest
