name,dependency_pkg
nn-backpropogate,numpy
nn-backpropogate,matplotlib
nn-backpropogate,math
pyronn,numpy
pyronn,pyronn-layers
nn-dataflow,pytest-xdist
nn-dataflow,pytest
nn-dataflow,pytest-cov
nn-dataflow,sympy
nn-dataflow,fastcache
nn-dataflow,coverage
nn-dataflow,argparse
nn-meter,PyYAML
nn-meter,tqdm
nn-meter,jsonlines
nn-meter,protobuf
nn-meter,packaging
nn-meter,scikit-learn
nn-meter,networkx
nn-meter,requests
nn-meter,pandas
nn-meter,numpy
nn_wtf,numpy
nn_wtf,tensorflow
nn-pruning,click
nn-pruning,transformers
nn-pruning,datasets
nn-pruning,pytest
nn-pruning,scikit-learn
nn-pruning,pandas
nn-pruning,matplotlib
nn-pruning,torch
nn-pruning,ipywidgets
nn-pruning,numpy
sd-nn,keras
sd-nn,pytorch
lign,pandas
lign,torch
lign,torchvision
lign,numpy
lign,future
e3nn,pytest
e3nn,scipy
e3nn,sympy
e3nn,pre-commit
e3nn,torch
e3nn,opt-einsum-fx
