package_name,dependency_pkg
Advanced-Neural-Network,pytest
Artificial-Neural-Network-Classifier,importlib-metadata
Artificial-Neural-Network-Classifier,numpy
Easy-Convolutional-Neural-Network,numpy
Easy-Convolutional-Neural-Network,pytest
tfcg,google
tfcg,networkx
tfcg,sphinx-rtd-theme
tfcg,sphinx
artificial-neural-network-model-automation,joblib
artificial-neural-network-model-automation,numpy
artificial-neural-network-model-automation,Keras
artificial-neural-network-model-automation,pydot
artificial-neural-network-model-automation,pandas
artificial-neural-network-model-automation,sklearn
artificial-neural-network-model-automation,tensorflow
neural-structured-learning,attrs
neural-structured-learning,six
neural-structured-learning,scipy
neural-structured-learning,absl-py
deepstruct,importlib-metadata
deepstruct,numpy
deepstruct,semantic_version
deepstruct,importlib-resources
deepstruct,torch
deepstruct,networkx
deepstruct,deprecated
nsp,numpy
nsp,matplotlib
nsp,torch
nsp,networkx
nsp,scipy
graphwar,tabulate
graphwar,termcolor
graphwar,scikit-learn
graphwar,pytest-cov
graphwar,numpy
graphwar,pytest
graphwar,pandas
graphwar,matplotlib
graphwar,tqdm
graphwar,scipy
nfp,numpy
nfp,pytest
nfp,rdkit-pypi
nfp,networkx
nfp,tensorflow
nfp,pymatgen
nfp,tqdm
jraph,dm-haiku
jraph,dm-tree
jraph,frozendict
jraph,optax
jraph,numpy
jraph,absl-py
jraph,pandas
jraph,scipy
jraph,jax
jraph,jaxlib
greatx,tabulate
greatx,termcolor
greatx,scikit-learn
greatx,pytest-cov
greatx,numpy
greatx,pytest
greatx,pandas
greatx,matplotlib
greatx,tqdm
greatx,scipy
pgl,cython
pgl,numpy
viznet,matplotlib
viznet,scipy
viznet,numpy
ggnn,tqdm
ggnn,flatast
gnntf,numpy
gnntf,sklearn
gnntf,tensorflow
gnntf,networkx
gnntf,scipy
sgl-dair,scikit-learn
sgl-dair,munkres
sgl-dair,openbox
sgl-dair,numpy
sgl-dair,ogb
sgl-dair,gensim
sgl-dair,torch
sgl-dair,networkx
sgl-dair,tqdm
sgl-dair,scipy
ignnition,importlib-metadata
ignnition,pyyaml
ignnition,tensorflow
ignnition,jsonschema
ignnition,networkx
polyid,scikit-learn
polyid,nfp
polyid,pytest
polyid,pandas
polyid,rdkit
polyid,shortuuid
polyid,tensorflow
polyid,tqdm
polyid,m2p
cg-gnn,scikit-learn
cg-gnn,psycopg2-binary
cg-gnn,numpy
cg-gnn,pandas
cg-gnn,tables
cg-gnn,scipy
cg-gnn,pyshp
cg-gnn,matplotlib
cg-gnn,bokeh
cg-gnn,networkx
cg-gnn,tqdm
cg-gnn,h5py
kgcnn,scikit-learn
kgcnn,tensorflow-addons
kgcnn,pyyaml
kgcnn,rdkit
kgcnn,tensorflow
kgcnn,matplotlib
kgcnn,click
kgcnn,pandas
kgcnn,visual-graph-datasets
kgcnn,networkx
kgcnn,pymatgen
kgcnn,scipy
kgcnn,brotli
kgcnn,sympy
kgcnn,numpy
kgcnn,requests
kgcnn,ase
kgcnn,openbabel
kgcnn,keras-tuner
BPrune,numpy
BPrune,seaborn
BPrune,tensorflow-probability
BPrune,pandas
BPrune,markdown
BPrune,tensorflow
BPrune,scipy
length-hpi,Pillow
length-hpi,numpy
length-hpi,pytest
graph-sc,attrdict
graph-sc,scikit-learn
graph-sc,setuptools
graph-sc,dgl
graph-sc,louvain
graph-sc,jgraph
graph-sc,openpyxl
graph-sc,scanpy
graph-sc,pandas
graph-sc,scipy
graph-sc,leidenalg
graph-sc,matplotlib
graph-sc,torch
graph-sc,xlrd
graph-sc,tqdm
