package_name,dependency_pkg
brainfrick-language,ply
brainfrick-language,pytest
large-index,click
large-index,requests
rasa_language,lark-parser>=0.7.8
rasa_language,PyYAML==5.2
rasa_language,colorama>=0.4.3
rasa_language,Click>=7.0
pythaiasr,torchaudio
pythaiasr,soundfile
pythaiasr,datasets
pythaiasr,pyctcdecode
pythaiasr,transformers
pythaiasr,numpy
pythaiasr,torch
transformer-utils,seaborn
transformer-utils,colorcet
transformer-utils,tqdm
transformer-utils,transformers
transformer-utils,torch
llama-llm,python-configuration[yaml]
llama-llm,tokenizers
llama-llm,requests
llama-llm,pydantic
llama-llm,openai
llama-llm,tqdm
llama-llm,numpy
llama-llm,faiss-cpu
large-image,large-image-source-ometiff
large-image,large-image-source-dummy
large-image,numpy
large-image,matplotlib
large-image,large-image-source-multi
large-image,cachetools
large-image,psutil
large-image,large-image-source-deepzoom
large-image,large-image-source-openslide
large-image,pyvips
large-image,importlib-metadata
large-image,large-image-source-test
large-image,pylibmc
large-image,large-image-source-pil
large-image,large-image-source-bioformats
large-image,large-image-source-vips
large-image,large-image-converter
large-image,simplejpeg
large-image,large-image-source-tiff
large-image,large-image-source-openjpeg
large-image,large-image-source-mapnik
large-image,large-image-source-dicom
large-image,large-image-source-nd2
large-image,Pillow
large-image,palettable
large-image,large-image-source-tifffile
large-image,large-image-source-gdal
Language-Translator,googletrans
Language-Translator,kivymd
Language-Translator,kivy
language-data,marisa-trie
