package_name,dependency_pkg
pylingua,idna
pylingua,urllib3
pylingua,certifi
pylingua,requests
pylingua,typing-extensions
pylingua,numpy
pylingua,charset-normalizer
pylingua,torch
llm-strategy,parse
llm-strategy,langchain
llm-strategy,pydantic
llm-strategy,openai
llm-strategy,pyyaml
llm-strategy,docstring-parser
llm-strategy,typing-extensions
yolopandas,openai
yolopandas,pandas
yolopandas,ipython
yolopandas,langchain
h4,huggingface-hub
h4,tqdm
h4,black
h4,numpy
h4,isort
h4,flake8
h4,packaging
natural-python,openai
prewl,requests
symbolicai,openai
symbolicai,selenium
symbolicai,numpy
symbolicai,torch
symbolicai,ipython
symbolicai,accelerate
symbolicai,torchvision
symbolicai,pandas
symbolicai,webdriver-manager
symbolicai,pyyaml
symbolicai,natsort
symbolicai,PyPDF2
symbolicai,beautifulsoup4
symbolicai,google-search-results
symbolicai,sentencepiece
symbolicai,rpyc
symbolicai,whisper
symbolicai,wolframalpha
symbolicai,python-box
symbolicai,tqdm
symbolicai,scikit-learn
symbolicai,transformers
symbolicai,pinecone-client
OpenELM,Flask
OpenELM,pygraphviz
OpenELM,hydra-core
OpenELM,numpy
OpenELM,pytest-cov
OpenELM,torch
OpenELM,flake8
OpenELM,ipython
OpenELM,graphviz
OpenELM,black
OpenELM,requests
OpenELM,pydocstyle
OpenELM,isort
OpenELM,wandb
OpenELM,tokenizers
OpenELM,pre-commit
OpenELM,mypy
OpenELM,box2d-py
OpenELM,transformers
OpenELM,swig
OpenELM,pytest
hal9,streamlit
hal9,requests
langchain,openai
langchain,huggingface_hub
langchain,aleph-alpha-client
langchain,numpy
langchain,pypdf
langchain,torch
langchain,anthropic
langchain,manifest-ml
langchain,redis
langchain,tensorflow-text
langchain,faiss-cpu
langchain,cohere
langchain,spacy
langchain,aiohttp
langchain,beautifulsoup4
langchain,requests
langchain,google-search-results
langchain,PyYAML
langchain,networkx
langchain,SQLAlchemy
langchain,dataclasses-json
langchain,nlpcloud
langchain,wolframalpha
langchain,opensearch-py
langchain,nltk
langchain,google-api-python-client
langchain,wikipedia
langchain,pydantic
langchain,jinja2
langchain,weaviate-client
langchain,qdrant-client
langchain,tenacity
langchain,transformers
langchain,tiktoken
langchain,sentence-transformers
langchain,elasticsearch
langchain,pinecone-client
dubo,pandas
honest,pandas
honest,Unidecode
honest,numpy
perplexed,matplotlib
perplexed,nbdev
perplexed,ipywidgets
perplexed,seaborn
perplexed,datasets
perplexed,twine
perplexed,fastcore
perplexed,transformers
perplexed,rich
perplexed,code-tokenizers
perplexed,torch
gpt-index,pandas
gpt-index,nltk
gpt-index,langchain
gpt-index,openai
gpt-index,tenacity
gpt-index,dataclasses-json
gpt-index,transformers
gpt-index,numpy
gpt-index,tiktoken
dreamy,pandas
dreamy,datasets
dreamy,"transformers[tokenizers,torch]"
dreamy,tqdm
dreamy,scikit-learn
dreamy,numpy
