package_name,dependency_pkg
TwoD-Form-Finding,matplotlib
TwoD-Form-Finding,comtypes
TwoD-Form-Finding,numpy
impl-pattern,asyncio
openclean-pattern,Sphinx
openclean-pattern,pandas
openclean-pattern,flake8
openclean-pattern,openclean-core
openclean-pattern,pytest-cov
openclean-pattern,sphinx-rtd-theme
openclean-pattern,scikit-bio
openclean-pattern,numpy
openclean-pattern,datamart-geo
openclean-pattern,pytest
openclean-pattern,coverage
openclean-pattern,pygtrie
k3pattern,k3ut
sent-pattern,spacy
conch-pattern,matplotlib
conch-pattern,sphinx
conch-pattern,numpy
conch-pattern,pytest
conch-pattern,scipy
conch-pattern,click
aloe-pattern,libsass
image-pattern,pydantic
image-pattern,pillow
pattern-feedback-tool,flake8-bandit
pattern-feedback-tool,flake8-black
pattern-feedback-tool,doit
pattern-feedback-tool,flake8-return
pattern-feedback-tool,tryceratops
pattern-feedback-tool,flake8
pattern-feedback-tool,flake8-typing-imports
pattern-feedback-tool,flake8-printf-formatting
pattern-feedback-tool,flake8-SQL
pattern-feedback-tool,flake8-bugbear
pattern-feedback-tool,calcipy
pattern-feedback-tool,absolufy-imports
pattern-feedback-tool,flake8-breakpoint
pattern-feedback-tool,vulture
pattern-feedback-tool,tomlkit
pattern-feedback-tool,unimport
pattern-feedback-tool,pyupgrade
pattern-feedback-tool,beartype
pattern-feedback-tool,pylint
pattern-feedback-tool,pyparsing
pattern-feedback-tool,flake8-print
pattern-feedback-tool,flake8-use-pathlib
pattern-feedback-tool,pydantic
pattern-feedback-tool,flake8-functions
pattern-feedback-tool,pycg
pattern-feedback-tool,flake8-comprehensions
pattern-feedback-tool,pytest-watcher
pattern-feedback-tool,flake8-tuple
pattern-feedback-tool,rich
pattern-feedback-tool,flake8-pep3101
pattern-feedback-tool,radon
pattern-feedback-tool,flake8-simplify
pattern-feedback-tool,isort
pattern-feedback-tool,flake8-isort
pattern-feedback-tool,flake8-debugger
pattern-feedback-tool,code2flow
pattern-feedback-tool,lxml
pattern-feedback-tool,better-exceptions
pattern-feedback-tool,flake8-builtins
pattern-feedback-tool,flake8-super
pattern-feedback-tool,flake8-blind-except
pattern-feedback-tool,docformatter
pattern-feedback-tool,flake8-eradicate
pattern-feedback-tool,pytest
pattern-feedback-tool,flake8-expression-complexity
pattern-feedback-tool,flake8-string-format
pattern-feedback-tool,flake8-broken-line
pattern-feedback-tool,mypy
