package_name,language
Pattern,Python
Pattern,JavaScript
pattern3,Python
pattern3,JavaScript
TwoD-Form-Finding,Python
impl-pattern,Python
openclean-pattern,Python
textpipe-pattern,Python
textpipe-pattern,JavaScript
k3pattern,Python
Docassemble-Pattern,Python
Docassemble-Pattern,JavaScript
create-pattern,Python
pattern-flow,Python
sent-pattern,Python
pattern-matching,Python
ecs-pattern,Python
pattern-observer,Python
pattern-singleton,Python
image-pattern,Python
pattern-clustering,Python
root-finding-pkg-thanjira,Python
pattern-feedback-tool,Python
json-pattern-validator,Python
stix-pattern-translator,Python
role-pattern-nlp,Python
django-script-pattern,Python
design-pattern-toolkit,Python
spacy-pattern-builder,Python
django-pattern-library,Python
camphr-pattern-search,Python
simple-factory-pattern,Python
flask-json-pattern,Python
pattern-recognition-cli,Python
visualise-spacy-pattern,Python
visitor-design-pattern,Python
python-antenna-pattern,Python
pattern-matching-pep634,Python
singleton-pattern-decorator,Python
nwc-pattern-miner,Python
awesome-pattern-matching,Python
django-outbox-pattern,Python
mercurial_path_pattern,Python
nose-pattern-exclude,Python
micromentor-django-pattern-library,Python
pprint-star-design-pattern,Python
regex4dummies,Python
TSPatternFinding,Python
ts-analysis,Python
potentialfinder,Python
grepath,Python
pyf-programmers-find,Python
daachorse,Rust
findx,Python
iterfiles,Python
pystringmatcher,Python
findup,Python
nonadditivity,Python
Candlestick,Python
permset,Python
HtmlList,Python
kmp-utils,Python
data-patterns,Python
python-nestjs,Python
config-probe,Python
find,Python
findfiles,Python
copatrec,Python
update-package-version,Python
find-gcp-keys,Python
odoo12-addon-pattern-import-export,Python
odoo8-addon-web-widget-pattern,Python
odoo14-addon-pattern-import-export,Python
git-gerp,Python
mkninja,Python
pyfpgrowth,Python
LPatternIdentification,Python
losser,Python
