package_name,dependency_pkg
processing-images,matplotlib
processing-images,scikit-image
processing-images,numpy
aplotme,matplotlib
aplotme,numpy
aplotme,pandas
speedboot,joblib
speedboot,tqdm
vmon-cli,Pillow
vmon-cli,kiwisolver
vmon-cli,DateTime
vmon-cli,click
vmon-cli,python-dateutil
vmon-cli,six
vmon-cli,numpy
vmon-cli,pandas
vmon-cli,zope.interface
vmon-cli,scipy
vmon-cli,matplotlib
vmon-cli,pytz
vmon-cli,pyparsing
vmon-cli,cycler
gplot,plotly
gplot,streamlit
gplot,pandas
nicks-plot-utils,lmfit
nicks-plot-utils,numpy
nicks-plot-utils,matplotlib
nicks-plot-utils,boost-histogram
nicks-plot-utils,scipy
ramachandranplot,requests
seaborn-extensions,sphinx-rtd-theme
seaborn-extensions,twine
seaborn-extensions,numpy
seaborn-extensions,pingouin
seaborn-extensions,wheel
seaborn-extensions,pandas
seaborn-extensions,coverage
seaborn-extensions,flake8
seaborn-extensions,pytest
seaborn-extensions,outdated
seaborn-extensions,tox
seaborn-extensions,matplotlib
seaborn-extensions,Sphinx
seaborn-extensions,seaborn
seaborn-extensions,setuptools-scm
mplplot,matplotlib
mplplot,networkx
mplplot,seaborn
mplplot,numpy
skyproj,astropy
skyproj,healsparse
skyproj,numpy
skyproj,hpgeom
skyproj,pyproj
skyproj,matplotlib
probeinterface,pillow
probeinterface,sphinx-gallery
probeinterface,numpy
probeinterface,pytest
probeinterface,pandas
probeinterface,matplotlib
probeinterface,scipy
earthing,matplotlib
earthing,numpy
sheetpakage,B
sheetpakage,A
opticalpyber,scipy
opticalpyber,numpy
scimple,pyarrow
scimple,numpy
scimple,pandas
scimple,matplotlib
scimple,networkx
scimple,pyspark
stratilib,matplotlib
stratilib,numpy
stratilib,pandas
datav,cartopy
datav,geopandas
preparenovonix,matplotlib
preparenovonix,numpy
pennpaper,matplotlib
pennpaper,numpy
ilya-ezplot,matplotlib
ilya-ezplot,numpy
multi-prophet,plotly
multi-prophet,pandas
multi-prophet,prophet
pyfesom2,seawater
pyfesom2,shapely
pyfesom2,joblib
pyfesom2,cmocean
pyfesom2,cartopy
pyfesom2,numpy
pyfesom2,pandas
pyfesom2,dask
pyfesom2,pyresample
pyfesom2,pytest
pyfesom2,xarray
pyfesom2,numba
pyfesom2,ipython
pyfesom2,jupyter
pyfesom2,netCDF4
pyfesom2,matplotlib
pyfesom2,scipy
backtrader-bokeh,jinja2
backtrader-bokeh,pandas
backtrader-bokeh,backtrader
backtrader-bokeh,matplotlib
backtrader-bokeh,bokeh
pctk,numpy
pctk,seaborn
pctk,pandas
pctk,matplotlib
pctk,scipy
scmomat,scikit-learn
scmomat,umap-learn
scmomat,numpy
scmomat,pandas
scmomat,leidenalg
scmomat,matplotlib
scmomat,torch
scmomat,scipy
vispm,matplotlib
hebg,numpy
hebg,matplotlib
hebg,networkx
hebg,tqdm
hebg,scipy
aidapy,sphinx
aidapy,more-itertools
aidapy,matplotlib
aidapy,sphinx-rtd-theme
aidapy,heliopy-multid
aidapy,xarray
aidapy,ipykernel
aidapy,nbsphinx
aidapy,extension
aidapy,torch
aidapy,h5py
aidapy,joblib
aidapy,bottleneck
aidapy,ipython
aidapy,sphinxcontrib-apidoc
aidapy,cdflib
aidapy,astropy
aidapy,sunpy
aidapy,numpy
aidapy,requests
aidapy,tricubic
aidapy,skorch
aidapy,heliopy
eccw-gui,eccw
eccw-gui,numpy
eccw-gui,xmltodict
eccw-gui,pyqt5
eccw-gui,matplotlib
transkun,tqdm
transkun,mir-eval
transkun,torch-optimizer
transkun,tensorboard
transkun,pretty-midi
transkun,seaborn
transkun,pydub
transkun,matplotlib
transkun,torch
transkun,ncls
transkun,torchaudio
transkun,scipy
transkun,soxr
transkun,sox
limesqueezer,numpy
limesqueezer,numba
limesqueezer,mypy
seplot,pyx
seplot,numpy
seplot,sio-tools
seplot,pandas
SPAIC,pyyaml
SPAIC,numpy
SPAIC,h5py
SPAIC,matplotlib
SPAIC,torch
SPAIC,tqdm
SPAIC,scipy
bmtool,questionary
bmtool,pynmodlt
bmtool,click
bmtool,numpy
bmtool,clint
bmtool,bmtk
bmtool,pandas
bmtool,matplotlib
bmtool,networkx
bmtool,h5py
python-cantata,pillow
python-cantata,python-can
python-cantata,wrapt
python-cantata,kiwisolver
python-cantata,python-dateutil
python-cantata,diskcache
python-cantata,six
python-cantata,cantools
python-cantata,aenum
python-cantata,bitstruct
python-cantata,textparser
python-cantata,windows-curses
python-cantata,numpy
python-cantata,argparse-addons
python-cantata,cogapp
python-cantata,matplotlib
python-cantata,pyparsing
python-cantata,cycler
pylfsr,matplotlib
pylfsr,numpy
weightwatcher,scikit-learn
weightwatcher,powerlaw
weightwatcher,numpy
weightwatcher,pandas
weightwatcher,matplotlib
weightwatcher,tqdm
weightwatcher,matplotlib-inline
ringtail,pandas
ringtail,rdkit
ringtail,meeko
ringtail,matplotlib
ringtail,scipy
