name,dependency_pkg
big-sleep,regex
big-sleep,tqdm
big-sleep,pytorch-pretrained-biggan
big-sleep,einops
big-sleep,fire
big-sleep,ftfy
big-sleep,torch
big-sleep,torchvision
pytest-never-sleep,pytest
cdk-cloudformation-awscommunity-time-sleep,jsii
cdk-cloudformation-awscommunity-time-sleep,aws-cdk-lib
cdk-cloudformation-awscommunity-time-sleep,typeguard
cdk-cloudformation-awscommunity-time-sleep,constructs
cdk-cloudformation-awscommunity-time-sleep,publication
sleep-hotkey,keyboard
sleep-inhibitor,ruamel.yaml
eeg-sleep-analysis,PySimpleGUI
eeg-sleep-analysis,pandas
eeg-sleep-analysis,openpyxl
eeg-sleep-analysis,xlsxwriter
sleep-models,numpy
sleep-models,pandas
sleep-models,scanpy
sleep-models,matplotlib
sleep-models,opencv-python
sleep-models,scikit-learn
sleep-models,Pillow
sleep-models,interpret
sleep-models,tqdm
sleep-models,seaborn
sleep-models,openpyxl
sleep-models,joblib
sleep-models,umap-learn
sleep-models,pyaml
sleep-models,scipy
sleep-models,anndata
sleep-utils,matplotlib
sleep-utils,pandas
sleep-utils,seaborn
sleep-utils,lspopt
sleep-utils,scipy
sleep-utils,mne
nonebot-plugin-sleep,nonebot2
nonebot-plugin-sleep,nonebot-adapter-onebot
