package_name,dependency_pkg
B3Bovespa,selenium
B3Bovespa,tqdm
B3Bovespa,pandas
loopers,requests
loopers,bs4
scrapping,requests
scrapping,lxml
scrapping,bs4
scrapping,user-agent
euroleague-scrapping,packaging
euroleague-scrapping,cryptography
euroleague-scrapping,colorama
euroleague-scrapping,Pygments
euroleague-scrapping,keyring
euroleague-scrapping,zipp
euroleague-scrapping,SecretStorage
euroleague-scrapping,pbr
euroleague-scrapping,requests
euroleague-scrapping,rfc3986
euroleague-scrapping,readme-renderer
euroleague-scrapping,requests-toolbelt
euroleague-scrapping,chardet
euroleague-scrapping,bleach
euroleague-scrapping,beautifulsoup4
euroleague-scrapping,pkginfo
euroleague-scrapping,idna
euroleague-scrapping,certifi
euroleague-scrapping,pyparsing
euroleague-scrapping,cffi
euroleague-scrapping,pycparser
euroleague-scrapping,soupsieve
euroleague-scrapping,twine
euroleague-scrapping,tqdm
euroleague-scrapping,importlib-metadata
euroleague-scrapping,webencodings
euroleague-scrapping,jeepney
euroleague-scrapping,six
euroleague-scrapping,urllib3
euroleague-scrapping,docutils
scrapeShivam,requests
scrapeShivam,numpy
scrapeShivam,pandas
scrapeShivam,Pillow
scrapeShivam,selenium
scrapeShivam,lxml
scrapeShivam,imageio
scrapeShivam,matplotlib
scrapeShivam,beautifulsoup4
dli-scrapping-lib,requests
dli-scrapping-lib,pandas
dli-scrapping-lib,beautifulsoup4
default-scraper,ipykernel
default-scraper,packaging
default-scraper,tornado
default-scraper,python-dateutil
default-scraper,Pygments
default-scraper,debugpy
default-scraper,jupyter-core
default-scraper,numpy
default-scraper,prompt-toolkit
default-scraper,keyring
default-scraper,pyzmq
default-scraper,parso
default-scraper,zipp
default-scraper,more-itertools
default-scraper,wcwidth
default-scraper,jaraco.classes
default-scraper,importlib-resources
default-scraper,mdurl
default-scraper,nest-asyncio
default-scraper,requests
default-scraper,rfc3986
default-scraper,matplotlib-inline
default-scraper,readme-renderer
default-scraper,appnope
default-scraper,requests-toolbelt
default-scraper,urllib3
default-scraper,bleach
default-scraper,beautifulsoup4
default-scraper,jedi
default-scraper,backcall
default-scraper,pexpect
default-scraper,pickleshare
default-scraper,pkginfo
default-scraper,idna
default-scraper,certifi
default-scraper,typing-extensions
default-scraper,traitlets
default-scraper,decorator
default-scraper,soupsieve
default-scraper,rich
default-scraper,twine
default-scraper,jupyter-client
default-scraper,psutil
default-scraper,importlib-metadata
default-scraper,ipython
default-scraper,ptyprocess
default-scraper,webencodings
default-scraper,pandas
default-scraper,pytz
default-scraper,charset-normalizer
default-scraper,markdown-it-py
default-scraper,six
default-scraper,entrypoints
default-scraper,docutils
igenemy,selenium
igenemy,ipython
igenemy,bs4
igenemy,wget
rss-scrap,aiohttp
rss-scrap,beautifulsoup4
kishor-dl,requests
kishor-dl,beautifulsoup4
