package_name,language
ibm-watson-machine-learning,Python
machine-learning-lab-dashboard,Python
auto-machine-learning,Python
machine-learning,Python
machine-learning-py,C
machine-learning-py,C++
machine-learning-py,Python
machine-learning-datasets,Python
watson-machine-learning-client,Python
machine,Python
Machine-Learning-Preprocess-CLI,Python
fast-machine-learning,Python
machine-learning-ChrisPrein,Python
simple_machine_learning,Python
machine-learning-lab,Python
qiskit-machine-learning,Python
