package_name,dependency_pkg
Easy-Convolutional-Neural-Network,numpy
Easy-Convolutional-Neural-Network,pytest
neural-compressor,py-cpuinfo
neural-compressor,opencv-python
neural-compressor,scikit-learn
neural-compressor,schema
neural-compressor,psutil
neural-compressor,prettytable
neural-compressor,deprecated
neural-compressor,pandas
neural-compressor,Pillow
neural-compressor,requests
neural-compressor,pycocotools
neural-compressor,pyyaml
neural-compressor,numpy
renn,sklearn
renn,tensorflow
renn,tqdm
renn,jax
renn,msgpack
renn,jaxlib
renn,tensorflow-text
renn,numpy
renn,tfds-nightly
onnx-coreml,sympy
onnx-coreml,onnx
onnx-coreml,typing
onnx-coreml,typing-extensions
onnx-coreml,coremltools
onnx-coreml,click
onnx-coreml,numpy
gpg-exchange,gpg
steam-exchange,flake8
steam-exchange,types-requests
steam-exchange,pytest
steam-exchange,mkdocs
steam-exchange,requests
steam-exchange,gitchangelog
steam-exchange,coverage
steam-exchange,codecov
steam-exchange,pytest-cov
steam-exchange,isort
steam-exchange,mypy
steam-exchange,black
Artificial-Neural-Network-Classifier,numpy
Artificial-Neural-Network-Classifier,importlib-metadata
onnx-weekly,lintrunner
onnx-weekly,protobuf
onnx-weekly,typing-extensions
onnx-weekly,lintrunner-adapters
onnx-weekly,numpy
neural-dream,pillow
neural-dream,torch
neural-dream,torchvision
neural-semigroups,tensorboard
neural-semigroups,torch
neural-semigroups,tqdm
neural-semigroups,pytorch-ignite
onnx-tf,onnx
onnx-tf,tensorflow-addons
onnx-tf,PyYAML
onnxruntime-noopenmp,protobuf
onnxruntime-noopenmp,numpy
OpenNN,CMake
Neural-Decoding,numpy
simple-neural,numpy
simple-neural,wheel
open-forms-ext-token-exchange,twine
open-forms-ext-token-exchange,furl
open-forms-ext-token-exchange,django
open-forms-ext-token-exchange,pytest-django
open-forms-ext-token-exchange,sphinx
open-forms-ext-token-exchange,flake8
open-forms-ext-token-exchange,bumpversion
open-forms-ext-token-exchange,zgw-consumers
open-forms-ext-token-exchange,pytest
open-forms-ext-token-exchange,pytest-cov
open-forms-ext-token-exchange,sphinx-rtd-theme
open-forms-ext-token-exchange,isort
open-forms-ext-token-exchange,black
onnxoptimizer,onnx
onnxoptimizer,mypy
cryptocom-exchange,aiolimiter
cryptocom-exchange,async-timeout
cryptocom-exchange,cached-property
cryptocom-exchange,websockets
cryptocom-exchange,httpx
estnltk-neural,packaging
estnltk-neural,torch
estnltk-neural,estnltk-core
estnltk-neural,tensorflow
estnltk-neural,stanza
estnltk-neural,transformers
estnltk-neural,estnltk
namebase-exchange,requests
Advanced-Neural-Network,pytest
analogvnn,sphinxcontrib-katex
analogvnn,flake8
analogvnn,dataclasses
analogvnn,flake8-executable
analogvnn,build
analogvnn,flit
analogvnn,sphinx-inline-tabs
analogvnn,graphviz
analogvnn,flake8-bugbear
analogvnn,numpy>=1.16.5
analogvnn,flake8-coding
analogvnn,furo
analogvnn,flake8-docstrings
analogvnn,tensorboard
analogvnn,sphinx-notfound-page
analogvnn,sphinx-rtd-theme
analogvnn,flake8-comprehensions
analogvnn,sphinxext-opengraph
analogvnn,flake8-quotes
analogvnn,tensorflow
analogvnn,rst-to-myst[sphinx]
analogvnn,johnnydep
analogvnn,flake8-deprecated
analogvnn,twine
analogvnn,torchinfo
analogvnn,sphinx-autoapi
analogvnn,networkx
analogvnn,analogvnn[flake8]
analogvnn,sphinx-copybutton
analogvnn,myst_parser
analogvnn,"importlib-metadata<5.0.0,>=2.0.0;"
analogvnn,sphinx>=4.2.0
analogvnn,flake8-return
analogvnn,setuptools>=61.0.0
analogvnn,"analogvnn[full,dev,doc,test]"
analogvnn,scipy
analogvnn,sphinx-autobuild
fastybird-exchange,fastybird-metadata
fastybird-exchange,setuptools
fastybird-exchange,kink
ort-nightly-featurizer,protobuf
ort-nightly-featurizer,numpy
privex-exchange,twine
privex-exchange,privex-steemengine
privex-exchange,privex-helpers[cache]
privex-exchange,pytest-asyncio
privex-exchange,wheel
privex-exchange,async-property
privex-exchange,privex-helpers[dev]
privex-exchange,pytest
privex-exchange,attrs
privex-exchange,coverage
privex-exchange,nest-asyncio
privex-exchange,setuptools
privex-exchange,pytest-cov
privex-exchange,httpx
privex-exchange,codecov
privex-exchange,jupyter
exchange-interface,calendar-base
exchange-interface,requests
neural-pipeline,numpy
neural-pipeline,torch
neural-pipeline,tqdm
artificial-neural-network-model-automation,Keras
artificial-neural-network-model-automation,sklearn
artificial-neural-network-model-automation,joblib
artificial-neural-network-model-automation,pydot
artificial-neural-network-model-automation,tensorflow
artificial-neural-network-model-automation,pandas
artificial-neural-network-model-automation,numpy
paper-neural,numpy
paper-neural,torch
paper-neural,Pillow
agent-exchange,numpy
agent-exchange,pandas
onnxruntime-openmp,protobuf
onnxruntime-openmp,numpy
currency-exchange,pytest
currency-exchange,requests
ort-gpu-nightly-featurizer,protobuf
ort-gpu-nightly-featurizer,numpy
Flask-Exchange,urllib3
Flask-Exchange,flask
Flask-Exchange,exchangelib
neural-diffeqs,torch-composer
neural-diffeqs,torch
ort-gpu-nightly-training,protobuf
ort-gpu-nightly-training,numpy
Erutils,onnxruntime
Erutils,nltk
Erutils,torchaudio
Erutils,torchtext
Erutils,PyYAML
Erutils,pandas
Erutils,numba
Erutils,thop
Erutils,torchvision
Erutils,matplotlib
Erutils,numpy
Erutils,json5
neural3d,requests
ngshare-exchange,jupyter-core
ngshare-exchange,rapidfuzz
ngshare-exchange,nbgrader
ngshare-exchange,traitlets
exchange2org,exchangelib
neural-style,pillow
neural-style,torch
neural-style,torchvision
Titanicbc,matplotlib
Titanicbc,docutils
Titanicbc,torch
Titanicbc,pandas
neural-mmo,setproctitle
neural-mmo,torch
neural-mmo,Twisted
neural-mmo,autobahn
neural-mmo,ray[rllib]
neural-mmo,tensorflow
neural-mmo,tqdm
neural-mmo,dm-tree
neural-mmo,gym
neural-mmo,fire
neural-mmo,vec-noise
neural-mmo,matplotlib
neural-mmo,sphinx-rtd-theme
neural-mmo,bokeh
neural-mmo,imageio
onnx,protobuf
onnx,flake8
onnx,typing-extensions
onnx,types-protobuf
onnx,clang-format
onnx,isort[colors]
onnx,numpy
onnx,mypy
onnx,black
exchange-calendars,python-dateutil
exchange-calendars,pyluach
exchange-calendars,pytz
exchange-calendars,flake8
exchange-calendars,pandas
exchange-calendars,hypothesis
exchange-calendars,pytest
exchange-calendars,pytest-benchmark
exchange-calendars,pytest-xdist
exchange-calendars,pip-tools
exchange-calendars,toolz
exchange-calendars,numpy
exchange-calendars,korean-lunar-calendar
dextrusion,roifile
dextrusion,opencv-python
dextrusion,scikit-learn
dextrusion,scikit-image
dextrusion,protobuf
dextrusion,tensorflow
dextrusion,tifffile
dextrusion,ipython
dextrusion,matplotlib
dextrusion,numpy
dextrusion,scipy
neural-tangents,tf2jax
neural-tangents,more-itertools
neural-tangents,typing-extensions
neural-tangents,jax
neural-tangents,frozendict
neural-tangents,tensorflow-datasets
neural-tangents,flax
neural-tools,scikit-image
neural-tools,pillow
neural-tools,numpy
neural-tools,imageio
neural-tools,scipy
neural-art,scikit-learn
neural-art,streamlit
neural-art,boto
neural-art,hyperdash
neural-art,seaborn
neural-art,scikit-image
neural-art,split_folders
neural-art,pandas
neural-art,tqdm
neural-art,pillow
neural-art,opencv-python
neural-art,boto3
neural-art,tensorflow
neural-art,loguru
neural-art,py3nvml
neural-art,click
neural-art,plot_keras_history
neural-art,attrdict
neural-art,cifar2png
tyxe,torch
tyxe,pyro-ppl
tyxe,torchvision
kassandra,seaborn
kassandra,pylint
kassandra,tensorflow
kassandra,tensorflow-probability
kassandra,coverage
kassandra,nose
kassandra,matplotlib
kassandra,numpy
kassandra,scipy
chives-exchange,pika
chives-exchange,flask-login
chives-exchange,Babel
chives-exchange,pandas
chives-exchange,Flask
chives-exchange,pytest
chives-exchange,SQLAlchemy
chives-exchange,requests
chives-exchange,flask-wtf
chives-exchange,pymysql
chives-exchange,cryptography
neural-lifetimes,scikit-learn
neural-lifetimes,botocore
